College,Address,Degree Type,State/Country,Accreditation,Latitude,Longitude
Cincinnati State Technical and Community College,"3520 Central Parkway Cincinnati, Ohio 45233-2690 United States",Associate,Ohio,Accredited,39.150007,-84.53680814
Clark State Community College,"570 East Leffel Lane Springfield, Ohio 45505 United States",Associate,Ohio,Accredited,39.89776425,-83.79911725
Columbus State Community College,"550 East Spring Street Columbus, Ohio 43215 ",Associate,Ohio,Accredited,39.97005625,-82.98763618
Cuyahoga Community College,"700 Carnegie Avenue Cleveland, Ohio 44115-2878 United States",Associate,Ohio,Accredited,41.44444955,-81.50127567
Edison State Community College,"1973 Edison Drive Piqua, Ohio 45356 ",Associate,Ohio,Accredited,40.15827687,-84.21513794
Firelands Regional Health System,"1912 Hayes Avenue Sandusky, Ohio 44870 ",Diploma,Ohio,Accredited,41.4375635,-82.7122449
Fortis College - Centerville,"555 East Alex Bell Road Centerville, Ohio 45459 United States",Associate,Ohio,Accredited,39.638392,-84.112582
Galen College of Nursing - Cincinnati,"100 E Business Way, Suite 120 Cincinnati, Ohio 45241 ",Associate,Ohio,Accredited,39.283792,-84.368412
Good Samaritan College of Nursing & Health Science,"375 Dixmyth Avenue Cincinnati, Ohio 45220-2489 United States",Associate,Ohio,Accredited,39.1396818,-84.5226692
Good Samaritan College of Nursing & Health Science,"375 Dixmyth Avenue Cincinnati, Ohio 45220-2489 United States",Baccalaureate,Ohio,Accredited,39.1396818,-84.5226692
Herzing University - Akron,"1600 South Arlington Street, Suite 100 Akron, Ohio 44306 ",Associate,Ohio,Accredited,41.02818605,-81.49283655
Hocking College,"3301 Hocking Parkway Nelsonville, Ohio 45764-9704 United States",Associate,Ohio,Accredited,39.4430521,-82.22132749
James A. Rhodes State College,"4240 Campus Drive Lima, Ohio 45804 ",Associate,Ohio,Accredited,40.7358747,-84.0276667
Kent State University,"400 East 4th Street East Liverpool, Ohio 43920 ",Associate,Ohio,Accredited,40.61688105,-80.57639908
Kettering College,"3737 Southern Boulevard Kettering, Ohio 45429 ",Baccalaureate,Ohio,Accredited,39.6936188,-84.19197332
Lakeland Community College,"7700 Clocktower Drive Kirtland, Ohio 44094-5198 ",Associate,Ohio,Accredited,41.6392917,-81.36447765
Lorain County Community College,"1005 North Abbe Road Elyria, Ohio 44035-1691 ",Associate,Ohio,Accredited,41.4134338,-82.07250313
Marion Technical College,"1467 Mount Vernon Avenue Marion, Ohio 43302 ",Associate,Ohio,Accredited,40.5845809,-83.1175759
Mercy College of Ohio,"2221 Madison Avenue Toledo, Ohio 43604-1132 ",Associate,Ohio,Accredited,41.6590423,-83.5539484
North Central State College,"2441 Kenwood Circle Mansfield, Ohio 44901 United States",Associate,Ohio,Accredited,40.7995487,-82.5816907
Northwest State Community College,"22600 State Route 34 Archbold, Ohio 43502-9542 ",Associate,Ohio,Accredited,41.45239715,-84.29854275
Ohio University,"Grover E317, 1 Ohio University Athens, Ohio 45701 ",Associate,Ohio,Accredited,39.32300405,-82.10267682
Owens Community College,"30335 Oregon Road Perrysburg, Ohio 43551 ",Associate,Ohio,Accredited,41.5884075,-83.52514463
Shawnee State University,"940 Second Street, Allied Health Sciences Building Portsmouth, Ohio 45662 ",Associate,Ohio,Accredited,38.73140245,-82.99232084
Shawnee State University,"940 Second Street. Allied Health Sciences Building Portsmouth, Ohio 45662 United States",Baccalaureate,Ohio,Accredited,38.73140245,-82.99232084
Sinclair Community College,"444 West 3rd Street Dayton, Ohio 45402 ",Associate,Ohio,Accredited,39.7575553,-84.2006431
Southern State Community College,"100 Hobart Drive Hillsboro, Ohio 45133-9488 United States",Associate,Ohio,Accredited,39.2369316,-83.61264257
Stark State College,"6200 Frank Avenue NW North Canton, Ohio 44720-7299 ",Associate,Ohio,Accredited,40.871386,-81.4397885
Terra State Community College,"2830 Napoleon Road Fremont, Ohio 43420-9670 United States",Associate,Ohio,Accredited,41.3541641,-83.1586444
Trinity Health System,"4000 Sunset Boulevard, Suite 2631 Steubenville, Ohio 43952 ",Diploma,Ohio,Accredited,40.3763579,-80.6747379
University of Cincinnati - Blue Ash College,"9555 Plainfield Road Blue Ash, Ohio 45236-1096 United States",Associate,Ohio,Accredited,39.2335185,-84.40017135
University of Rio Grande,"218 North College Avenue, PO Box 500 Rio Grande, Ohio 45674-0500 United States",Associate,Ohio,Accredited,38.8788275,-82.37602923
University of Rio Grande,"218 North College Avenue, PO Box 500 Rio Grande, Ohio 45674-0500 United States",Baccalaureate,Ohio,Accredited,38.8788275,-82.37602923
Youngstown State University,"One University Plaza Youngstown, Ohio 44555 United States",Baccalaureate,Ohio,Accredited,41.1067218,-80.64775416
Carl Albert State College,"1507 South McKenna Poteau, Oklahoma 74953-5207 United States",Associate,Oklahoma,Accredited,35.0379723,-94.6353602
Connors State College,"2501 North 41st Street East Muskogee, Oklahoma 74403 ",Associate,Oklahoma,Accredited,35.7775133,-95.31189879
East Central University,"1100 East 14th Street, PMB V-8 Ada, Oklahoma 74820 ",Baccalaureate,Oklahoma,Accredited,34.7710292,-96.66700982
Eastern Oklahoma State College,"1301 West Main Street Wilburton, Oklahoma 74578-4999 United States",Associate,Oklahoma,Accredited,34.91400505,-95.33073839
Langston University,"PO Box 1500 Langston, Oklahoma 73050 United States",Baccalaureate,Oklahoma,Accredited,35.94741365,-97.26474191
Murray State College,"One Murray Campus Tishomingo, Oklahoma 73460-3130 United States",Associate,Oklahoma,Accredited,34.2242613,-96.6769463
Northeastern Oklahoma A&M College,"200 I Street NE Miami, Oklahoma 74354-6434 United States",Associate,Oklahoma,Accredited,36.87859085,-94.86477527
Northeastern State University,"2400 West Shawnee Avenue Muskogee, Oklahoma 74401 ",Baccalaureate,Oklahoma,Accredited,35.9239099,-94.96819786
Northeastern State University,"2400 West Shawnee Avenue Muskogee, Oklahoma 74401 ",Master's,Oklahoma,Accredited,35.9239099,-94.96819786
Northern Oklahoma College,"1220 East Grand, PO Box 310 Tonkawa, Oklahoma 74653 ",Associate,Oklahoma,Accredited,36.6774106,-97.29628607
Northwestern Oklahoma State University,"709 Oklahoma Boulevard Alva, Oklahoma 73717-2799 ",Baccalaureate,Oklahoma,Accredited,36.7930901,-98.6729427
Oklahoma City Community College,"7777 South May Avenue Oklahoma City, Oklahoma 73159-4444 United States",Associate,Oklahoma,Accredited,35.38837825,-97.56959714
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Master's/Post-Master's Certificate,Oklahoma,Accredited,35.49631525,-97.54122412
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Baccalaureate,Oklahoma,Accredited,35.49631525,-97.54122412
Oklahoma City University,"2501 North Blackwelder Avenue Oklahoma City, Oklahoma 73106-1493 ",Clinical Doctorate,Oklahoma,Accredited,35.49631525,-97.54122412
Oklahoma Panhandle State University,"323 Eagle Boulevard, Box 430 Goodwell, Oklahoma 73939 United States",Baccalaureate,Oklahoma,Accredited,36.592886,-101.605323
Oklahoma State University Institute of Technology-Okmulgee,"1801 East 4th Okmulgee, Oklahoma 74447 ",Associate,Oklahoma,Accredited,35.626519,-95.94342861
Oklahoma State University-Oklahoma City,"440 North Portland Avenue Oklahoma City, Oklahoma 73107 ",Associate,Oklahoma,Accredited,35.47180977,-97.583235
Redlands Community College,"1300 South Country Club Road El Reno, Oklahoma 73036 ",Associate,Oklahoma,Accredited,35.5197743,-97.9736608
Rogers State University,"1701 West Will Rogers Boulevard Claremore, Oklahoma 74017-3252 United States",Baccalaureate,Oklahoma,Accredited,36.31860995,-95.63611369
Rose State College,"6420 SE 15th Street Midwest City, Oklahoma 73110-2799 ",Associate,Oklahoma,Accredited,35.4458953,-97.413369
Seminole State College,"2701 Boren Boulevard Seminole, Oklahoma 74868 United States",Associate,Oklahoma,Accredited,35.2485518,-96.704227
Southwestern Oklahoma State University,"100 Campus Drive Weatherford, Oklahoma 73096-3098 ",Baccalaureate,Oklahoma,Accredited,35.5359857,-98.70873231
Southwestern Oklahoma State University,"100 Campus Drive Weatherford, Oklahoma 73096-3098 ",Master's,Oklahoma,Accredited,35.5359857,-98.70873231
Tulsa Community College,"909 South Boston Avenue Tulsa, Oklahoma 74119-2095 ",Associate,Oklahoma,Accredited,36.03351375,-95.99093665
University of Tulsa,"800 South Tucker Drive Tulsa, Oklahoma 74104 United States",Baccalaureate,Oklahoma,Accredited,36.1523306,-95.94596024
University of Tulsa,"800 South Tucker Drive Tulsa, Oklahoma 74104 United States",Clinical Doctorate/DNPSC,Oklahoma,Accredited,36.1523306,-95.94596024
Central Oregon Community College,"2600 Northwest College Way Bend, Oregon 97703 United States",Associate,Oregon,Accredited,44.63629655,-121.1063427
Chemeketa Community College,"4000 Lancaster Drive NE, PO Box 14007 Salem, Oregon 97309-7070 United States",Associate,Oregon,Accredited,44.9772777,-122.9782503
Portland Community College,"12000 SW 49th Avenue Portland, Oregon 97280-0990 ",Associate,Oregon,Accredited,45.5652116,-122.8551366
Treasure Valley Community College,"650 College Boulevard Ontario, Oregon 97914 United States",Associate,Oregon,Accredited,44.01828885,-116.9728556
Alle-Kiski Medical Center,"539 Pittsburgh Mills Circle Tarentum, Pennsylvania 15084 ",Diploma,Pennsylvania,Accredited,40.5734974,-79.8012282
Bucks County Community College,"275 Swamp Road Newtown, Pennsylvania 18940-4106 United States",Associate,Pennsylvania,Accredited,40.23944945,-74.9657987
Butler County Community College,"107 College Drive Butler, Pennsylvania 16003-1203 ",Associate,Pennsylvania,Accredited,40.8291182,-79.91333263
Cedar Crest College,"100 College Drive Allentown, Pennsylvania 18104-6196 ",Baccalaureate,Pennsylvania,Accredited,40.5870414,-75.5196287
Cedar Crest College,"100 College Drive Allentown, Pennsylvania 18104-6196 ",Master's/Post-Master's Certificate,Pennsylvania,Accredited,40.5870414,-75.5196287
Commonwealth University of Pennsylvania,"400 E. 2nd Street Bloomsburg, Pennsylvania 17815 ",Associate,Pennsylvania,Accredited,39.95406335,-75.19234413
Commonwealth University of Pennsylvania,"400 East 2nd Street Bloomsburg, Pennsylvania 17815 ",Baccalaureate,Pennsylvania,Accredited,41.0089926,-76.44703607
Community College of Allegheny County,"800 Allegheny Avenue Pittsburgh, Pennsylvania 15233 ",Associate,Pennsylvania,Accredited,40.45092965,-80.01840132
Community College of Beaver County,"1 Campus Drive Monaca, Pennsylvania 15061-2588 ",Associate,Pennsylvania,Accredited,40.65479325,-80.30630009
Community College of Philadelphia,"1700 Spring Garden Street Philadelphia, Pennsylvania 19130-3991 United States",Associate,Pennsylvania,Accredited,39.9578373,-75.21659507
Conemaugh Memorial Medical Center,"1086 Franklin Street Johnstown, Pennsylvania 15905-4398 United States",Diploma,Pennsylvania,Accredited,40.3058405,-78.91824395
Delaware County Community College,"901 South Media Line Road Media, Pennsylvania 19063-1094 ",Associate,Pennsylvania,Accredited,39.9671919,-75.3927798
East Stroudsburg University of Pennsylvania,"200 Prospect Street East Stroudsburg, Pennsylvania 18301-2999 ",Baccalaureate,Pennsylvania,Accredited,40.9979175,-75.17268177
Grove City College,"100 Campus Drive Grove City, Pennsylvania 16127-2104 ",Baccalaureate,Pennsylvania,Accredited,41.1553489,-80.07874862
Harcum College,"750 Montgomery Avenue Bryn Mawr, Pennsylvania 19010 ",Associate,Pennsylvania,Accredited,40.0215652,-75.31334093
Harrisburg Area Community College,"1 HACC Drive Harrisburg, Pennsylvania 17110-2999 United States",Associate,Pennsylvania,Accredited,40.04217135,-76.26655371
Heritage Valley Health System School of Nursing,"25 Heckel Road McKees Rocks, Pennsylvania 15136-1694 United States",Diploma,Pennsylvania,Accredited,40.4727347,-80.0935276
La Roche University,"9000 Babcock Boulevard Pittsburgh, Pennsylvania 15237-5898 United States",Baccalaureate,Pennsylvania,Accredited,40.56839905,-80.01386534
La Roche University,"9000 Babcock Boulevard Pittsburgh, Pennsylvania 15237-5898 ",Master's,Pennsylvania,Accredited,40.56839905,-80.01386534
Lehigh Carbon Community College,"4525 Education Park Drive Schnecksville, Pennsylvania 18078-2598 ",Associate,Pennsylvania,Accredited,40.8679244,-75.812269
Lehigh Valley Health Network,"420 South Jackson Street Pottsville, Pennsylvania 17901 ",Diploma,Pennsylvania,Accredited,40.6838564,-76.1884775
Luzerne County Community College,"1333 South Prospect Street Nanticoke, Pennsylvania 18634 United States",Associate,Pennsylvania,Accredited,41.1938759,-75.99100725
Montgomery County Community College,"340 Dekalb Pike Blue Bell, Pennsylvania 19422 United States",Associate,Pennsylvania,Accredited,40.17322665,-75.27510693
Mount Aloysius College,"7373 Admiral Peary Highway Cresson, Pennsylvania 16630 ",Associate,Pennsylvania,Accredited,40.46034752,-78.6005664
Mount Aloysius College,"7373 Admiral Peary Highway Cresson, Pennsylvania 16630 ",Baccalaureate,Pennsylvania,Accredited,40.46034752,-78.6005664
Neumann University,"One Neumann Drive Aston, Pennsylvania 19014-1298 United States",Baccalaureate,Pennsylvania,Accredited,39.87556305,-75.44047445
Neumann University,"One Neumann Drive Aston, Pennsylvania 19014-1298 ",Master's/Post-Master's Certificate,Pennsylvania,Accredited,39.87556305,-75.44047445
Northampton Community College,"3835 Green Pond Road Bethlehem, Pennsylvania 18020 ",Associate,Pennsylvania,Accredited,40.67473346,-75.32647671
Pennsylvania College of Health Sciences,"850 Greenfield Road Lancaster, Pennsylvania 17601 ",Associate,Pennsylvania,Accredited,40.06143925,-76.24687401
Pennsylvania College of Technology,"One College Avenue Williamsport, Pennsylvania 17701-5799 ",Associate,Pennsylvania,Accredited,41.2360615,-77.02751446
Pennsylvania College of Technology,"One College Avenue Williamsport, Pennsylvania 17701-5799 ",Baccalaureate,Pennsylvania,Accredited,41.2360615,-77.02751446
Pennsylvania Western University,"1801 West First Street Oil City, Pennsylvania 16301-3297 ",Associate,Pennsylvania,Accredited,40.06443145,-79.88439813
Pennsylvania Western University,"1801 West First Street Oil City, Pennsylvania 16301-3297 ",Baccalaureate,Pennsylvania,Accredited,40.06443145,-79.88439813
Pennsylvania Western University,"1801 West First Street Oil City, Pennsylvania 16301-3297 United States",Master's/Post-Master's Certificate,Pennsylvania,Accredited,40.06443145,-79.88439813
Reading Area Community College,"10 South 2nd Street Reading, Pennsylvania 19603 United States",Associate,Pennsylvania,Accredited,40.3343147,-75.93520917
Reading Hospital,"420 South 5th Street West Reading, Pennsylvania 19611 ",Diploma,Pennsylvania,Accredited,40.33064195,-75.95017114
Roxborough Memorial Hospital,"5800 Ridge Avenue Philadelphia, Pennsylvania 19128 ",Diploma,Pennsylvania,Accredited,40.02896325,-75.20929984
Saint Luke's Hospital of Bethlehem,"801 Ostrum Street Bethlehem, Pennsylvania 18015 ",Diploma,Pennsylvania,Accredited,40.60928045,-75.3931974
Sharon Regional Medical Center,"740 East State Street Sharon, Pennsylvania 16146 United States",Diploma,Pennsylvania,Accredited,41.2324644,-80.4983179
University of Pittsburgh at Bradford,"300 Campus Drive Bradford, Pennsylvania 16701-2898 United States",Associate,Pennsylvania,Accredited,41.94475545,-78.67271518
University of Pittsburgh at Bradford,"300 Campus Drive Bradford, Pennsylvania 16701-2898 United States",Baccalaureate,Pennsylvania,Accredited,41.94475545,-78.67271518
UPMC Jameson,"2414 Wilmington Road New Castle, Pennsylvania 16105-2595 United States",Diploma,Pennsylvania,Accredited,41.01356165,-80.35333625
UPMC Mercy,"1401 Boulevard of the Allies Pittsburgh, Pennsylvania 15219 United States",Diploma,Pennsylvania,Accredited,40.435162,-79.986637
UPMC Presbyterian Shadyside,"5230 Centre Avenue Pittsburgh, Pennsylvania 15232 United States",Diploma,Pennsylvania,Accredited,40.4542949,-79.9421806
UPMC St. Margaret,"Seventh Street Commons, 221 Seventh Street Pittsburgh, Pennsylvania 15238 United States",Diploma,Pennsylvania,Accredited,40.48889775,-79.89605534
Washington Health System - Washington Hospital,"155 Wilson Avenue Washington, Pennsylvania 15301-3398 United States",Diploma,Pennsylvania,Accredited,39.9008559,-80.17360509
Western Pennsylvania Hospital,"4900 Friendship Avenue Pittsburgh, Pennsylvania 15224 United States",Diploma,Pennsylvania,Accredited,40.4612409,-79.94609008
Westmoreland County Community College,"145 Pavilion Lane Youngwood, Pennsylvania 15697 United States",Associate,Pennsylvania,Accredited,40.2340935,-79.5654337
Atenas College,"Paseo del Atenas #101 Manati, Puerto Rico 00674-0365 ",Associate,Puerto Rico,Accredited,18.4295436,-66.4903372
Atenas College,"101 Paseo de la Atenas Manati, Puerto Rico 00674 United States",Baccalaureate,Puerto Rico,Accredited,18.4295436,-66.4903372
Colegio Universitario de San Juan,"180 Jose Oiver Tres Monjitas Industrial Park San Juan, Puerto Rico 00918 ",Associate,Puerto Rico,Accredited,18.4288311,-66.06690254
Columbia Central University,"Road Number 183, K.M. 1.7. Caguas, Puerto Rico 00725 ",Baccalaureate,Puerto Rico,Accredited,18.2227915,-66.02218655
EDP University of Puerto Rico,"PO Box 192303 San Juan, Puerto Rico 0019-2303 United States",Associate,Puerto Rico,Accredited,18.4156409,-66.05547631
EDP University of Puerto Rico,"PO Box 192303 San Juan, Puerto Rico 00919-2303 United States",Baccalaureate,Puerto Rico,Accredited,18.4156409,-66.05547631
Inter American University of Puerto Rico - Aguadilla Campus,"Call Box 20,000 Aguadilla, Puerto Rico 00605 ",Baccalaureate,Puerto Rico,Accredited,18.4677966,-67.125416
Inter American University of Puerto Rico - Aguadilla Campus,"Call Box 20,000  Road 459 Int 463 Aguadilla, Puerto Rico 00603 United States",Associate,Puerto Rico,Accredited,18.4677966,-67.125416
Inter American University of Puerto Rico - Arecibo Campus,"PO Box 4050 Arecibo, Puerto Rico 00614-4050 United States",Baccalaureate,Puerto Rico,Accredited,18.475723,-66.7620185
Inter American University of Puerto Rico - Metropolitan Campus,"PO Box 191293 San Juan, Puerto Rico 00919-1293 ",Baccalaureate,Puerto Rico,Accredited,18.3694795,-66.081911
Inter American University of Puerto Rico - Metropolitan Campus,"PO Box 191293 San Juan, Puerto Rico 00919-1293 United States",Associate,Puerto Rico,Accredited,18.3694795,-66.081911
NUC University,"PO Box 2036 Bayamon, Puerto Rico 00960 United States",Baccalaureate,Puerto Rico,Accredited,18.18440915,-67.15000657
NUC University,"PO Box 2036 Bayamon, Puerto Rico 00960 ",Associate,Puerto Rico,Accredited,18.18440915,-67.15000657
Pontificia Universidad Catolica de Puerto Rico,"2250 Las Americas Avenue, Suite 513 Ponce, Puerto Rico 00717-0997 United States",Baccalaureate,Puerto Rico,Accredited,18.44599505,-66.67942259
Pontificia Universidad Catolica de Puerto Rico,"2250 Las Americas Avenue, Suite 513 Ponce, Puerto Rico 00717-0997 ",Master's,Puerto Rico,Accredited,18.44599505,-66.67942259
Universidad Ana G. Mendez - Carolina Campus,"PO Box 2010 Carolina, Puerto Rico 00984 United States",Associate,Puerto Rico,Accredited,18.4134815,-65.986227
Universidad Ana G. Mendez - Carolina Campus,"PO Box 2010 Carolina, Puerto Rico 00984 United States",Baccalaureate,Puerto Rico,Accredited,18.4134815,-65.986227
Universidad Ana G. Mendez - Cupey Campus,"PO Box 21150 San Juan, Puerto Rico 00928-1150 United States",Associate,Puerto Rico,Accredited,18.3870693,-66.0640271
Universidad Ana G. Mendez - Cupey Campus,"PO Box 21150 San Juan, Puerto Rico 00928-1150 United States",Baccalaureate,Puerto Rico,Accredited,18.3870693,-66.0640271
Universidad Ana G. Mendez - Cupey Campus,"PO Box 21150 San Juan, Puerto Rico 00928-1150 United States",Master's,Puerto Rico,Accredited,18.3870693,-66.0640271
Universidad de Puerto Rico en Arecibo,"PO Box 4010 Arecibo, Puerto Rico 00614-4010 United States",Associate,Puerto Rico,Accredited,18.4680478,-66.7430367
Universidad de Puerto Rico en Arecibo,"PO Box 4010 Arecibo, Puerto Rico 00614-4010 United States",Baccalaureate,Puerto Rico,Accredited,18.4680478,-66.7430367
Universidad de Puerto Rico en Humacao,"Call Box 860 Humacao, Puerto Rico 00792 United States",Baccalaureate,Puerto Rico,Accredited,18.1472563,-65.8432321
University of Puerto Rico at Mayaguez,"PO Box 9015 Mayaguez, Puerto Rico 00681-9000 United States",Baccalaureate,Puerto Rico,Accredited,18.2138235,-67.14256802
Community College of Rhode Island,"400 East Avenue Warwick, Rhode Island 02886-1807 ",Associate,Rhode Island,Accredited,41.8979117,-71.45531187
New England Institute of Technology,"One New England Tech Boulevard East Greenwich, Rhode Island 02818-1205 ",Associate,Rhode Island,Accredited,41.6602712,-71.50135499
New England Institute of Technology,"One New England Tech Boulevard East Greenwich, Rhode Island 02818-1205 United States",Baccalaureate,Rhode Island,Accredited,41.6602712,-71.50135499
New England Institute of Technology,"One New England Tech Boulevard East Greenwich, Rhode Island 02818-1205 ",Master's,Rhode Island,Accredited,41.6602712,-71.50135499
Aiken Technical College,"PO Drawer 696 Aiken, South Carolina 29802 ",Associate,South Carolina,Accredited,33.5343573,-81.84271082
Central Carolina Technical College,"506 North Guignard Drive Sumter, South Carolina 29150-2499 United States",Associate,South Carolina,Accredited,33.9332125,-80.3709144
Charleston Southern University,"9200 University Boulevard Charleston, South Carolina 29423-8087 ",Baccalaureate,South Carolina,Accredited,32.9826445,-80.07109662
Charleston Southern University,"9200 University Boulevard Charleston, South Carolina 29423-8087 ",Master's/Post-Master's Certificate,South Carolina,Accredited,32.9826445,-80.07109662
Coastal Carolina University,"PO Box 261954 Conway, South Carolina 29528 United States",Baccalaureate,South Carolina,Accredited,33.7953292,-79.0127432
Florence-Darlington Technical College,"2715 West Lucas Street, PO Box 100548 Florence, South Carolina 29502-0548 United States",Associate,South Carolina,Accredited,34.2437648,-79.815062
Galen College of Nursing - Myrtle Beach,"920 Doug White Drive, 3rd Floor Myrtle Beach, South Carolina 29572 United States",Associate,South Carolina,Accredited,33.7575597,-78.8251107
Greenville Technical College,"506 Pleasantburg Drive Greenville, South Carolina 29607 United States",Associate,South Carolina,Accredited,34.82616095,-82.37530452
Horry-Georgetown Technical College,"743 Hemlock Avenue Myrtle Beach, South Carolina 25977 ",Associate,South Carolina,Accredited,33.6589921,-78.9417211
Midlands Technical College,"1260 Lexington Drive Columbia, South Carolina 29170 United States",Associate,South Carolina,Accredited,33.94873025,-81.1165156
Orangeburg-Calhoun Technical College,"3250 St. Matthews Road Orangeburg, South Carolina 29118 ",Associate,South Carolina,Accredited,33.54492375,-80.82870313
Piedmont Technical College,"620 North Emerald Road Greenwood, South Carolina 29648 ",Associate,South Carolina,Accredited,34.20573935,-82.12253742
Spartanburg Community College,"107 Community College Drive Spartanburg, South Carolina 29305 United States",Associate,South Carolina,Accredited,34.97539275,-81.99171438
Technical College of the Lowcountry,"921 Ribaut Road, PO Box 1288 Beaufort, South Carolina 29901-1288 ",Associate,South Carolina,Accredited,32.4199815,-80.69034255
Tri-County Technical College,"7900 Highway 76 Pendleton, South Carolina 29670 United States",Associate,South Carolina,Accredited,34.64181625,-82.79064609
Trident Technical College,"7000 Rivers Avenue, PO Box 118067 Charleston, South Carolina 29423-8067 ",Associate,South Carolina,Accredited,32.9257293,-80.0309214
York Technical College,"452 South Anderson Road Rock Hill, South Carolina 29730 United States",Associate,South Carolina,Accredited,34.9343908,-80.99408425
Lake Area Technical College,"PO Box 730 Watertown, South Dakota 57201 ",Associate,South Dakota,Accredited,44.901118,-97.0978826
Southeast Technical College,"2320 North Career Avenue Sioux Falls, South Dakota 57107 ",Associate,South Dakota,Accredited,43.5727959,-96.7777936
Austin Peay State University,"601 College Street Clarksville, Tennessee 37044 United States",Master's,Tennessee,Accredited,36.53429655,-87.35430854
Chattanooga State Community College,"4501 Amnicola Highway Chattanooga, Tennessee 37406 United States",Associate,Tennessee,Accredited,35.09913045,-85.23918539
Cleveland State Community College,"3535 Adkisson Drive, PO Box 3570 Cleveland, Tennessee 37320-3570 United States",Associate,Tennessee,Accredited,35.2012583,-84.8787527
Columbia State Community College,"1665 Hampshire Pike Columbia, Tennessee 38401 ",Associate,Tennessee,Accredited,35.61851087,-87.10090037
Dyersburg State Community College,"1510 Lake Road Dyersburg, Tennessee 38024 United States",Associate,Tennessee,Accredited,36.0479051,-89.3895771
Fortis Institute - Cookeville,"1025 Highway 11 Cookeville, Tennessee 38501 United States",Associate,Tennessee,Accredited,36.1432025,-85.4787108
Fortis Institute - Nashville,"3354 Perimeter Hill Drive, Suite 200 Nashville, Tennessee 37211 ",Associate,Tennessee,Accredited,36.0849683,-86.6983122
Galen College of Nursing - Nashville,"1100 Dr. Martin Luther King Jr. Boulevard, Fourth Floor Nashville, Tennessee 37203 USA",Associate,Tennessee,Accredited,36.162167,-86.7940842
Jackson State Community College,"2046 North Parkway Jackson, Tennessee 38301-3797 United States",Associate,Tennessee,Accredited,35.6450712,-88.7806129
Lincoln Memorial University,"6965 Cumberland Gap Parkway Harrogate, Tennessee 37752 ",Associate,Tennessee,Accredited,36.5718381,-83.66162405
Lincoln Memorial University,"6965 Cumberland Gap Parkway Harrogate, Tennessee 37752 ",Baccalaureate,Tennessee,Accredited,36.5718381,-83.66162405
Lincoln Memorial University,"6965 Cumberland Gap Parkway Harrogate, Tennessee 37752 ",Master's/Post-Master's Certificate,Tennessee,Accredited,36.5718381,-83.66162405
Lincoln Memorial University,"6965 Cumberland Gap Parkway Harrogate, Tennessee 37752 ",Clinical Doctorate,Tennessee,Accredited,36.5718381,-83.66162405
Lipscomb University,"One University Park Drive Nashville, Tennessee 37204-3951 ",Baccalaureate,Tennessee,Accredited,36.10507165,-86.79864092
Motlow State Community College,"6015 Ledford Mull Road Tullahoma, Tennessee 37388 ",Associate,Tennessee,Accredited,35.702121,-85.7440632
Nashville State Community College,"120 White Bridge Road Nashville, Tennessee 37209 ",Associate,Tennessee,Accredited,36.552476,-87.3270379
Northeast State Community College,"300 West Main Street Kingsport, Tennessee 37660 United States",Associate,Tennessee,Accredited,36.48545445,-82.40742535
Pellissippi State Community College,"2731 Lamar Alexander Parkway Friendsville, Tennessee 37777 United States",Associate,Tennessee,Accredited,35.7549109,-84.07386358
Roane State Community College,"276 Patton Lane Harriman, Tennessee 37748 ",Associate,Tennessee,Accredited,35.88419523,-84.61740252
Southern Adventist University,"PO Box 370 Collegedale, Tennessee 37315-0370 ",Associate,Tennessee,Accredited,35.0475044,-85.04929723
Southern Adventist University,"PO Box 370 Collegedale, Tennessee 37315-0370 ",Baccalaureate,Tennessee,Accredited,35.0475044,-85.04929723
Southern Adventist University,"PO Box 370 Collegedale, Tennessee 37315-0370 ",Master's/Post-Master's Certificate,Tennessee,Accredited,35.0475044,-85.04929723
Southern Adventist University,"PO Box 370 Collegedale, Tennessee 37315-0370 ",Clinical Doctorate,Tennessee,Accredited,35.0475044,-85.04929723
Southwest Tennessee Community College,"737 Union Avenue Memphis, Tennessee 38103 United States",Associate,Tennessee,Accredited,35.13692065,-90.03687699
Tennessee State University,"3500 John A. Merritt Boulevard, Box 9590 Nashville, Tennessee 37209-1561 ",Baccalaureate,Tennessee,Accredited,36.16794425,-86.82710486
Tennessee State University,"3500 John A. Merritt Boulevard, Box 9590 Nashville, Tennessee 37209-1561 United States",Master's/Post-Master's Certificate,Tennessee,Accredited,36.16794425,-86.82710486
University of Tennessee at Martin,"136 Gooch Hall, 538 University Street Martin, Tennessee 38238 United States",Baccalaureate,Tennessee,Accredited,36.3414523,-88.8642273
Volunteer State Community College,"1480 Nashville Pike Gallatin, Tennessee 37066 United States",Associate,Tennessee,Accredited,36.3628263,-86.4972163
Walters State Community College,"500 South Davy Crockett Parkway Morristown, Tennessee 37813-6899 United States",Associate,Tennessee,Accredited,36.2148666,-83.26206441
Alvin Community College,"3110 Mustang Road Alvin, Texas 77511 United States",Associate,Texas,Accredited,29.3962,-95.2402
Amarillo College,"6222 West 9th Avenue Amarillo, Texas 79106 ",Associate,Texas,Accredited,35.18932685,-101.8468483
