State,County,LACCESS_POP10,FID
Alabama,Autauga,18428.43969,5
Alabama,Baldwin,35210.81408,20
Alabama,Barbour,5722.305602,25
Alabama,Bibb,1044.867327,29
Alabama,Blount,1548.175559,33
Alabama,Bullock,4089.983548,37
Alabama,Butler,1307.819706,39
Alabama,Calhoun,30901.15059,43
Alabama,Chambers,6748.213223,47
Alabama,Cherokee,79.41023456,51
Alabama,Chilton,1456.677891,56
Alabama,Choctaw,2612.253868,58
Alabama,Clarke,5060.660983,61
Alabama,Clay,742.7716979,65
Alabama,Cleburne,146.8634959,67
Alabama,Coffee,11395.3204,70
Alabama,Colbert,9519.551153,73
Alabama,Conecuh,3725.78157,80
Alabama,Coosa,2837.242738,82
Alabama,Covington,3334.140948,88
Alabama,Crenshaw,5383.8864,90
Alabama,Cullman,6295.387759,98
Alabama,Dale,13846.95984,101
Alabama,Dallas,7785.597207,110
Alabama,DeKalb,2679.852662,112
Alabama,Elmore,15011.50492,118
Alabama,Escambia,5188.706191,122
Alabama,Etowah,24779.19275,131
Alabama,Fayette,437.5118941,134
Alabama,Franklin,3073.774789,138
Alabama,Geneva,605.9970532,140
Alabama,Greene,3286.514964,148
Alabama,Hale,87.11485878,150
Alabama,Henry,386.3128906,158
Alabama,Houston,21404.32788,160
Alabama,Jackson,4855.062529,164
Alabama,Jefferson,209261.4587,171
Alabama,Lamar,92.38193741,174
Alabama,Lauderdale,14583.69352,176
Alabama,Lawrence,1349.438484,181
Alabama,Lee,43794.80745,187
Alabama,Limestone,10137.457,197
Alabama,Lowndes,5502.701934,205
Alabama,Macon,7505.708743,210
Alabama,Madison,110052.1281,217
Alabama,Marengo,5586.990602,220
Alabama,Marion,538.0911004,224
Alabama,Marshall,12813.73718,231
Alabama,Mobile,112773.596,240
Alabama,Monroe,7149.038887,250
Alabama,Montgomery,64259.79931,256
Alabama,Morgan,14009.67177,262
Alabama,Perry,971.6627797,264
Alabama,Pickens,851.4306553,273
Alabama,Pike,3732.811063,279
Alabama,Randolph,1061.068693,284
Alabama,Russell,8511.76217,288
Alabama,St. Clair,3743.674718,292
Alabama,Shelby,52013.60579,298
Alabama,Sumter,2223.779005,303
Alabama,Talladega,12352.35949,306
Alabama,Tallapoosa,4597.92268,308
Alabama,Tuscaloosa,39478.45762,313
Alabama,Walker,7529.76094,317
Alabama,Washington,1708.300483,319
Alabama,Wilcox,5173.220579,326
Alabama,Winston,1011.264406,332
Alaska,Aleutians East,1226.050471,346
Alaska,Aleutians West,764.4765797,381
Alaska,Anchorage,87979.27762,400
Alaska,Bethel,13272.65514,411
Alaska,Bristol Bay,434.1425696,423
Alaska,Denali,1826.000014,426
Alaska,Dillingham,1578.584702,445
Alaska,Fairbanks North Star,36249.0367,454
Alaska,Haines,519.2357221,462
Alaska,Hoonah-Angoon,1694.916244,476
Alaska,Juneau,10138.15807,482
Alaska,Kenai Peninsula,11289.68828,494
Alaska,Ketchikan Gateway,1036.074208,514
Alaska,Kodiak Island,1415.661102,533
Alaska,Lake and Peninsula,1630.999993,544
Alaska,Matanuska-Susitna,20435.7281,556
Alaska,Nome,5066.067036,571
Alaska,North Slope,3628.633664,614
Alaska,Northwest Arctic,4322.337073,638
Alaska,Petersburg,183.3436815,645
Alaska,Prince of Wales-Hyder,1390.579689,669
Alaska,Sitka,1617.312812,679
Alaska,Skagway,2.999953762,683
Alaska,Southeast Fairbanks,2043.278141,690
Alaska,Valdez-Cordova,2693.675933,710
Alaska,Wade Hampton,4955.077251,725
Alaska,Wrangell,510.6244347,733
Alaska,Yakutat,2.522152712,744
Alaska,Yukon-Koyukuk,5587.999995,753
Arizona,Apache,46746.81747,761
Arizona,Cochise,51625.29142,763
Arizona,Coconino,40657.18388,771
Arizona,Gila,12811.31917,787
Arizona,Graham,11662.50928,0
Arizona,Greenlee,5957.314435,1
Arizona,La Paz,8877.868271,3
Arizona,Maricopa,492281.1541,9
Arizona,Mohave,88373.50883,15
Arizona,Navajo,35575.12849,17
Arizona,Pima,232208.1752,21
Arizona,Pinal,65190.17042,26
Arizona,Santa Cruz,13052.30957,32
Arizona,Yavapai,70247.52715,35
Arizona,Yuma,43752.55633,42
Arkansas,Arkansas,4197.6044,46
Arkansas,Ashley,4341.55433,50
Arkansas,Baxter,4979.82384,54
Arkansas,Benton,43591.37574,59
Arkansas,Boone,11074.80395,62
Arkansas,Bradley,1254.628848,68
Arkansas,Calhoun,3507.670059,72
Arkansas,Carroll,2359.1006,74
