State,County,PCT_SNAP12,FID,FID
Alabama,Autauga,18.90847619,5,5
Alabama,Baldwin,18.90847619,20,20
Alabama,Barbour,18.90847619,25,25
Alabama,Bibb,18.90847619,29,29
Alabama,Blount,18.90847619,33,33
Alabama,Bullock,18.90847619,37,37
Alabama,Butler,18.90847619,39,39
Alabama,Calhoun,18.90847619,43,43
Alabama,Chambers,18.90847619,47,47
Alabama,Cherokee,18.90847619,51,51
Alabama,Chilton,18.90847619,56,56
Alabama,Choctaw,18.90847619,58,58
Alabama,Clarke,18.90847619,61,61
Alabama,Clay,18.90847619,65,65
Alabama,Cleburne,18.90847619,67,67
Alabama,Coffee,18.90847619,70,70
Alabama,Colbert,18.90847619,73,73
Alabama,Conecuh,18.90847619,80,80
Alabama,Coosa,18.90847619,82,82
Alabama,Covington,18.90847619,88,88
Alabama,Crenshaw,18.90847619,90,90
Alabama,Cullman,18.90847619,98,98
Alabama,Dale,18.90847619,101,101
Alabama,Dallas,18.90847619,110,110
Alabama,DeKalb,18.90847619,112,112
Alabama,Elmore,18.90847619,118,118
Alabama,Escambia,18.90847619,122,122
Alabama,Etowah,18.90847619,131,131
Alabama,Fayette,18.90847619,134,134
Alabama,Franklin,18.90847619,138,138
Alabama,Geneva,18.90847619,140,140
Alabama,Greene,18.90847619,148,148
Alabama,Hale,18.90847619,150,150
Alabama,Henry,18.90847619,158,158
Alabama,Houston,18.90847619,160,160
Alabama,Jackson,18.90847619,164,164
Alabama,Jefferson,18.90847619,171,171
Alabama,Lamar,18.90847619,174,174
Alabama,Lauderdale,18.90847619,176,176
Alabama,Lawrence,18.90847619,181,181
Alabama,Lee,18.90847619,187,187
Alabama,Limestone,18.90847619,197,197
Alabama,Lowndes,18.90847619,205,205
Alabama,Macon,18.90847619,210,210
Alabama,Madison,18.90847619,217,217
Alabama,Marengo,18.90847619,220,220
Alabama,Marion,18.90847619,224,224
Alabama,Marshall,18.90847619,231,231
Alabama,Mobile,18.90847619,240,240
Alabama,Monroe,18.90847619,250,250
Alabama,Montgomery,18.90847619,256,256
Alabama,Morgan,18.90847619,262,262
Alabama,Perry,18.90847619,264,264
Alabama,Pickens,18.90847619,273,273
Alabama,Pike,18.90847619,279,279
Alabama,Randolph,18.90847619,284,284
Alabama,Russell,18.90847619,288,288
Alabama,St. Clair,18.90847619,292,292
Alabama,Shelby,18.90847619,298,298
Alabama,Sumter,18.90847619,303,303
Alabama,Talladega,18.90847619,306,306
Alabama,Tallapoosa,18.90847619,308,308
Alabama,Tuscaloosa,18.90847619,313,313
Alabama,Walker,18.90847619,317,317
Alabama,Washington,18.90847619,319,319
Alabama,Wilcox,18.90847619,326,326
Alabama,Winston,18.90847619,332,332
