State,County,LACCESS_SENIORS10,FID
Alabama,Autauga,2388.233228,5
Alabama,Baldwin,6404.008603,20
Alabama,Barbour,770.2145501,25
Alabama,Bibb,150.5533234,29
Alabama,Blount,195.0490512,33
Alabama,Bullock,554.3880207,37
Alabama,Butler,254.9544283,39
Alabama,Calhoun,4974.957133,43
Alabama,Chambers,1170.805467,47
Alabama,Cherokee,9.222339636,51
Alabama,Chilton,241.6945694,56
Alabama,Choctaw,438.8776458,58
Alabama,Clarke,729.1345058,61
Alabama,Clay,134.7189454,65
Alabama,Cleburne,29.17774384,67
Alabama,Coffee,1493.505415,70
Alabama,Colbert,1593.647086,73
Alabama,Conecuh,779.0402213,80
Alabama,Coosa,565.5642203,82
Alabama,Covington,657.1533103,88
Alabama,Crenshaw,779.0240731,90
Alabama,Cullman,1170.915966,98
Alabama,Dale,1375.399645,101
Alabama,Dallas,1274.107116,110
Alabama,DeKalb,258.2532407,112
Alabama,Elmore,1592.191833,118
Alabama,Escambia,803.1434271,122
Alabama,Etowah,4824.136583,131
Alabama,Fayette,66.63527474,134
Alabama,Franklin,399.2148404,138
Alabama,Geneva,93.42048333,140
Alabama,Greene,522.3380058,148
Alabama,Hale,11.76429124,150
Alabama,Henry,54.71389304,158
Alabama,Houston,2620.315374,160
Alabama,Jackson,722.6645885,164
Alabama,Jefferson,26850.51656,171
Alabama,Lamar,13.05889055,174
Alabama,Lauderdale,2341.767869,176
Alabama,Lawrence,192.7064577,181
Alabama,Lee,3504.653337,187
Alabama,Limestone,1518.517334,197
Alabama,Lowndes,834.559381,205
Alabama,Macon,1050.542259,210
Alabama,Madison,12421.19335,217
Alabama,Marengo,882.3423619,220
Alabama,Marion,99.41482152,224
Alabama,Marshall,1677.682036,231
Alabama,Mobile,14569.02635,240
Alabama,Monroe,1157.817916,250
Alabama,Montgomery,7483.779288,256
Alabama,Morgan,1986.35589,262
Alabama,Perry,232.0964695,264
Alabama,Pickens,141.799516,273
Alabama,Pike,432.9964573,279
Alabama,Randolph,186.6931618,284
Alabama,Russell,1206.502463,288
Alabama,St. Clair,495.5843844,292
Alabama,Shelby,5549.835513,298
Alabama,Sumter,381.3077044,303
Alabama,Talladega,1753.220924,306
Alabama,Tallapoosa,868.6490839,308
Alabama,Tuscaloosa,4468.794087,313
Alabama,Walker,1161.806695,317
Alabama,Washington,265.887725,319
Alabama,Wilcox,775.0487199,326
Alabama,Winston,171.093029,332
Alaska,Aleutians East,43.52521766,346
Alaska,Aleutians West,41.26138225,381
Alaska,Anchorage,6069.67302,400
Alaska,Bethel,856.8224986,411
Alaska,Bristol Bay,42.22983453,423
Alaska,Denali,137.0000001,426
Alaska,Dillingham,124.0044666,445
Alaska,Fairbanks North Star,2324.159531,454
Alaska,Haines,58.37082496,462
Alaska,Hoonah-Angoon,230.9999999,476
Alaska,Juneau,720.5771802,482
Alaska,Kenai Peninsula,1356.684499,494
Alaska,Ketchikan Gateway,106.6000109,514
Alaska,Kodiak Island,97.50312411,533
Alaska,Lake and Peninsula,126.9999993,544
Alaska,Matanuska-Susitna,1679.175252,556
Alaska,Nome,299.8744921,571
Alaska,North Slope,110.6553172,614
Alaska,Northwest Arctic,245.9999991,638
Alaska,Petersburg,15.12321252,645
Alaska,Prince of Wales-Hyder,156.8385508,669
Alaska,Sitka,161.8772858,679
Alaska,Skagway,0.70064373,683
Alaska,Southeast Fairbanks,213.0499104,690
Alaska,Valdez-Cordova,277.6505859,710
Alaska,Wade Hampton,247.8083634,725
Alaska,Wrangell,70.54157463,733
Alaska,Yakutat,0.630538178,744
Alaska,Yukon-Koyukuk,568.9999992,753
Arizona,Apache,5613.125629,761
Arizona,Cochise,10095.99986,763
Arizona,Coconino,4511.233356,771
Arizona,Gila,3030.427316,787
Arizona,Graham,1253.57988,0
Arizona,Greenlee,690.4094324,1
Arizona,La Paz,4298.975916,3
Arizona,Maricopa,77451.10502,9
Arizona,Mohave,21394.73683,15
Arizona,Navajo,4231.443865,17
Arizona,Pima,44001.14648,21
Arizona,Pinal,16277.78681,26
Arizona,Santa Cruz,1901.182899,32
Arizona,Yavapai,17476.47957,35
Arizona,Yuma,8293.823506,42
Arkansas,Arkansas,782.541959,46
Arkansas,Ashley,704.0758458,50
Arkansas,Baxter,1493.620388,54
Arkansas,Benton,5542.448133,59
Arkansas,Boone,2185.021284,62
Arkansas,Bradley,234.7684982,68
Arkansas,Calhoun,655.6366299,72
Arkansas,Carroll,383.4048784,74
Arkansas,Chicot,103.3409713,77
Arkansas,Clark,396.358578,86
Arkansas,Clay,417.3629278,93
Arkansas,Cleburne,731.382411,97
Arkansas,Cleveland,372.0645491,103
Arkansas,Columbia,673.7321895,107
Arkansas,Conway,766.9875356,109
Arkansas,Craighead,2389.477805,114
Arkansas,Crawford,1612.756151,115
Arkansas,Crittenden,624.2811918,119
Arkansas,Cross,473.949348,124
Arkansas,Dallas,264.615746,128
Arkansas,Desha,641.8346214,130
Arkansas,Drew,495.9224327,136
Arkansas,Faulkner,2373.261537,141
Arkansas,Franklin,259.7179482,144
Arkansas,Fulton,486.8456492,146
Arkansas,Garland,6846.498831,151
Arkansas,Grant,306.7889927,155
Arkansas,Greene,1280.618848,162
Arkansas,Hempstead,976.1624813,172
Arkansas,Hot Spring,1037.503498,184
Arkansas,Howard,411.2522959,191
Arkansas,Independence,1033.014215,200
Arkansas,Izard,154.950784,203
Arkansas,Jackson,346.0839625,209
Arkansas,Jefferson,2083.613261,213
Arkansas,Johnson,404.9754008,218
Arkansas,Lafayette,284.1006989,222
Arkansas,Lawrence,772.0331999,230
Arkansas,Lee,538.6583823,237
Arkansas,Lincoln,254.3552851,244
Arkansas,Little River,119.6170961,251
Arkansas,Logan,528.9626788,258
Arkansas,Lonoke,1470.251649,268
Arkansas,Madison,701.2655233,277
Arkansas,Marion,547.3825808,282
Arkansas,Miller,1513.396921,287
Arkansas,Mississippi,658.9753123,294
Arkansas,Monroe,205.2903905,300
Arkansas,Montgomery,481.5241658,304
Arkansas,Nevada,503.6063111,307
Arkansas,Newton,563.0045003,311
Arkansas,Ouachita,1237.886132,316
Arkansas,Perry,200.7817371,318
Arkansas,Phillips,1292.420107,322
Arkansas,Pike,438.3862633,327
Arkansas,Poinsett,428.9777248,333
Arkansas,Polk,1291.474139,337
Arkansas,Pope,988.5018252,340
Arkansas,Prairie,88.49356492,345
Arkansas,Pulaski,13791.90172,350
Arkansas,Randolph,1081.869632,353
Arkansas,St. Francis,869.7623108,357
Arkansas,Saline,3619.668541,360
Arkansas,Scott,414.0093231,364
Arkansas,Searcy,533.2385138,372
Arkansas,Sebastian,2305.396539,378
Arkansas,Sevier,742.300747,390
Arkansas,Sharp,1112.287128,394
Arkansas,Stone,568.9550821,399
Arkansas,Union,1554.727941,403
Arkansas,Van Buren,424.2117261,407
Arkansas,Washington,3469.462623,417
Arkansas,White,1502.986784,428
Arkansas,Woodruff,76.56877392,435
Arkansas,Yell,343.784264,438
California,Alameda,17476.39381,457
California,Alpine,101.6135993,461
California,Amador,547.1791428,472
California,Butte,9566.308365,486
California,Calaveras,621.4531496,489
California,Colusa,355.9079088,497
California,Contra Costa,31379.64639,503
California,Del Norte,1093.984889,511
California,El Dorado,6915.364245,522
California,Fresno,10177.53379,527
California,Glenn,460.5711706,537
California,Humboldt,3300.574826,551
California,Imperial,2637.631962,557
California,Inyo,1521.847355,562
California,Kern,11291.31572,84
California,Kings,1478.142507,94
California,Lake,2141.931532,100
California,Lassen,1238.212435,104
California,Los Angeles,78922.91872,139
California,Madera,2524.665788,153
California,Marin,7163.065047,168
California,Mariposa,427.1330522,178
California,Mendocino,2233.415355,190
California,Merced,3205.239977,204
California,Modoc,806.4909366,207
California,Mono,926.1575498,214
California,Monterey,6277.492048,228
California,Napa,4145.02816,236
California,Nevada,4658.571112,243
California,Orange,32600.00763,257
California,Placer,8936.844799,266
California,Plumas,298.3949426,275
California,Riverside,55162.15454,281
California,Sacramento,22339.21793,289
California,San Benito,1168.035697,295
California,San Bernardino,44771.89163,302
California,San Diego,59019.28999,315
California,San Francisco,2799.630385,331
California,San Joaquin,6375.016741,339
California,San Luis Obispo,7813.156056,351
California,San Mateo,12313.04546,368
California,Santa Barbara,9692.441455,391
California,Santa Clara,21459.37294,406
California,Santa Cruz,4886.970273,415
California,Shasta,7557.870912,431
California,Sierra,593.6544762,439
California,Siskiyou,1861.6788,446
California,Solano,9682.553489,453
California,Sonoma,13099.98653,463
California,Stanislaus,6826.979924,473
California,Sutter,3923.263254,483
California,Tehama,1740.300237,492
California,Trinity,515.129199,500
California,Tulare,5958.182873,501
California,Tuolumne,2929.240013,513
California,Ventura,17112.94586,521
California,Yolo,2210.895461,525
California,Yuba,1179.938637,541
Colorado,Adams,5295.420496,545
Colorado,Alamosa,136.0987652,549
Colorado,Arapahoe,10571.33409,558
Colorado,Archuleta,462.0607201,560
Colorado,Baca,197.0624937,563
Colorado,Bent,179.0263298,564
Colorado,Boulder,4574.524786,570
Colorado,Broomfield,716.421503,577
Colorado,Chaffee,388.4864618,582
Colorado,Cheyenne,106.3763431,587
Colorado,Clear Creek,157.7940276,591
Colorado,Conejos,86.9200902,596
Colorado,Costilla,806.9999998,599
Colorado,Crowley,457.7219639,605
Colorado,Custer,237.9054612,610
Colorado,Delta,254.7680236,617
Colorado,Denver,7588.185491,628
Colorado,Dolores,55.53833453,636
Colorado,Douglas,3747.089051,644
