State,County,SNAPS17,FID,FID
Alabama,Autauga,44.66666667,5,5
Alabama,Baldwin,189.4166667,20,20
Alabama,Barbour,36,25,25
Alabama,Bibb,18.16666667,29,29
Alabama,Blount,40.16666667,33,33
Alabama,Bullock,10.16666667,37,37
Alabama,Butler,24.91666667,39,39
Alabama,Calhoun,136,43,43
Alabama,Chambers,35.66666667,47,47
Alabama,Cherokee,27.41666667,51,51
Alabama,Chilton,42.5,56,56
Alabama,Choctaw,14.41666667,58,58
Alabama,Clarke,36.16666667,61,61
Alabama,Clay,11.16666667,65,65
Alabama,Cleburne,12.16666667,67,67
Alabama,Coffee,42.66666667,70,70
Alabama,Colbert,63,73,73
Alabama,Conecuh,15.83333333,80,80
Alabama,Coosa,7,82,82
Alabama,Covington,54.08333333,88,88
Alabama,Crenshaw,19.83333333,90,90
Alabama,Cullman,74.08333333,98,98
Alabama,Dale,51.33333333,101,101
Alabama,Dallas,43.66666667,110,110
Alabama,DeKalb,81.91666667,112,112
Alabama,Elmore,66.83333333,118,118
Alabama,Escambia,42.08333333,122,122
Alabama,Etowah,108.5,131,131
Alabama,Fayette,14,134,134
Alabama,Franklin,33.08333333,138,138
Alabama,Geneva,31.58333333,140,140
Alabama,Greene,14.83333333,148,148
Alabama,Hale,14.25,150,150
Alabama,Henry,12.58333333,158,158
Alabama,Houston,136.6666667,160,160
Alabama,Jackson,49.25,164,164
Alabama,Jefferson,569.4166667,171,171
Alabama,Lamar,13.33333333,174,174
Alabama,Lauderdale,93.08333333,176,176
Alabama,Lawrence,27.25,181,181
Alabama,Lee,100.5,187,187
Alabama,Limestone,67.83333333,197,197
Alabama,Lowndes,13.25,205,205
Alabama,Macon,18,210,210
Alabama,Madison,263.1666667,217,217
Alabama,Marengo,22.83333333,220,220
Alabama,Marion,22.66666667,224,224
Alabama,Marshall,100.6666667,231,231
Alabama,Mobile,484.25,240,240
Alabama,Monroe,26.66666667,250,250
Alabama,Montgomery,213.5833333,256,256
Alabama,Morgan,118,262,262
Alabama,Perry,11.08333333,264,264
Alabama,Pickens,24.66666667,273,273
Alabama,Pike,37.58333333,279,279
Alabama,Randolph,20.58333333,284,284
Alabama,Russell,62.08333333,288,288
Alabama,St. Clair,74.08333333,292,292
Alabama,Shelby,124.75,298,298
Alabama,Sumter,19.91666667,303,303
Alabama,Talladega,95.58333333,306,306
Alabama,Tallapoosa,41.75,308,308
Alabama,Tuscaloosa,163.3333333,313,313
Alabama,Walker,72.83333333,317,317
Alabama,Washington,16.66666667,319,319
Alabama,Wilcox,19.08333333,326,326
Alabama,Winston,25,332,332
Alaska,Aleutians East,5,346,346
Alaska,Aleutians West,3.833333333,381,381
Alaska,Anchorage,117.4166667,400,400
Alaska,Bethel,51.58333333,411,411
Alaska,Bristol Bay,2,423,423
Alaska,Denali,0.083333333,426,426
Alaska,Dillingham,8,445,445
Alaska,Fairbanks North Star,25.83333333,454,454
Alaska,Haines,3,462,462
Alaska,Hoonah-Angoon,,476,476
Alaska,Juneau,12,482,482
Alaska,Kenai Peninsula,36.58333333,494,494
Alaska,Ketchikan Gateway,11,514,514
Alaska,Kodiak Island,8.583333333,533,533
Alaska,Lake and Peninsula,9,544,544
Alaska,Matanuska-Susitna,39,556,556
Alaska,Nome,24.91666667,571,571
Alaska,North Slope,11.91666667,614,614
Alaska,Northwest Arctic,20.5,638,638
Alaska,Petersburg,1,645,645
Alaska,Prince of Wales-Hyder,2,669,669
Alaska,Sitka,3.083333333,679,679
Alaska,Skagway,,683,683
Alaska,Southeast Fairbanks,5.916666667,690,690
Alaska,Valdez-Cordova,14.25,710,710
Alaska,Wade Hampton,,725,725
Alaska,Wrangell,,733,733
Alaska,Yakutat,2,744,744
Alaska,Yukon-Koyukuk,31.66666667,753,753
Arizona,Apache,46,761,761
Arizona,Cochise,93.5,763,763
Arizona,Coconino,93.08333333,771,771
Arizona,Gila,44.75,787,787
Arizona,Graham,24.41666667,0,0
Arizona,Greenlee,10.08333333,1,1
Arizona,La Paz,35.08333333,3,3
Arizona,Maricopa,2072.5,9,9
Arizona,Mohave,150.75,15,15
Arizona,Navajo,93.33333333,17,17
Arizona,Pima,603.5833333,21,21
Arizona,Pinal,164.0833333,26,26
Arizona,Santa Cruz,27.25,32,32
Arizona,Yavapai,146.1666667,35,35
Arizona,Yuma,110.75,42,42
Arkansas,Arkansas,19,46,46
Arkansas,Ashley,19.66666667,50,50
Arkansas,Baxter,33.83333333,54,54
Arkansas,Benton,137.3333333,59,59
Arkansas,Boone,29.66666667,62,62
Arkansas,Bradley,10.25,68,68
Arkansas,Calhoun,4,72,72
Arkansas,Carroll,19.25,74,74
Arkansas,Chicot,13.33333333,77,77
Arkansas,Clark,17,86,86
Arkansas,Clay,12.41666667,93,93
Arkansas,Cleburne,22.41666667,97,97
Arkansas,Cleveland,4,103,103
Arkansas,Columbia,19.33333333,107,107
Arkansas,Conway,22.08333333,109,109
Arkansas,Craighead,97.41666667,114,114
Arkansas,Crawford,44,115,115
Arkansas,Crittenden,65.83333333,119,119
Arkansas,Cross,18.75,124,124
Arkansas,Dallas,11.83333333,128,128
Arkansas,Desha,15.16666667,130,130
Arkansas,Drew,19,136,136
Arkansas,Faulkner,73.5,141,141
Arkansas,Franklin,15.33333333,144,144
Arkansas,Fulton,7.583333333,146,146
Arkansas,Garland,79.5,151,151
Arkansas,Grant,11.58333333,155,155
Arkansas,Greene,38.66666667,162,162
Arkansas,Hempstead,18.66666667,172,172
Arkansas,Hot Spring,28.66666667,184,184
Arkansas,Howard,17.16666667,191,191
Arkansas,Independence,28,200,200
Arkansas,Izard,12.66666667,203,203
Arkansas,Jackson,19.16666667,209,209
Arkansas,Jefferson,78.25,213,213
Arkansas,Johnson,22.41666667,218,218
Arkansas,Lafayette,7,222,222
Arkansas,Lawrence,18.41666667,230,230
Arkansas,Lee,12.08333333,237,237
Arkansas,Lincoln,9.666666667,244,244
Arkansas,Little River,13,251,251
Arkansas,Logan,18.66666667,258,258
Arkansas,Lonoke,51.33333333,268,268
Arkansas,Madison,10.33333333,277,277
Arkansas,Marion,10.08333333,282,282
Arkansas,Miller,47,287,287
Arkansas,Mississippi,46.83333333,294,294
Arkansas,Monroe,18.33333333,300,300
Arkansas,Montgomery,6,304,304
Arkansas,Nevada,7.5,307,307
Arkansas,Newton,6.5,311,311
Arkansas,Ouachita,31.25,316,316
Arkansas,Perry,4.083333333,318,318
Arkansas,Phillips,29.25,322,322
Arkansas,Pike,15,327,327
Arkansas,Poinsett,28.08333333,333,333
Arkansas,Polk,16.66666667,337,337
Arkansas,Pope,41.16666667,340,340
Arkansas,Prairie,7.916666667,345,345
Arkansas,Pulaski,318.3333333,350,350
Arkansas,Randolph,13.66666667,353,353
Arkansas,St. Francis,32.33333333,357,357
Arkansas,Saline,71.5,360,360
Arkansas,Scott,10.5,364,364
Arkansas,Searcy,8.166666667,372,372
Arkansas,Sebastian,117.8333333,378,378
Arkansas,Sevier,19.5,390,390
Arkansas,Sharp,16.41666667,394,394
Arkansas,Stone,8.666666667,399,399
Arkansas,Union,32.75,403,403
Arkansas,Van Buren,13.75,407,407
Arkansas,Washington,161,417,417
Arkansas,White,73.83333333,428,428
Arkansas,Woodruff,10,435,435
Arkansas,Yell,25,438,438
California,Alameda,841,457,457
California,Alpine,,461,461
California,Amador,30.08333333,472,472
California,Butte,186.8333333,486,486
California,Calaveras,42.75,489,489
California,Colusa,22.66666667,497,497
California,Contra Costa,509.75,503,503
California,Del Norte,26.91666667,511,511
California,El Dorado,108.3333333,522,522
California,Fresno,888.25,527,527
California,Glenn,32,537,537
California,Humboldt,128.5,551,551
California,Imperial,115.8333333,557,557
California,Inyo,16.41666667,562,562
California,Kern,704.5833333,84,84
California,Kings,111.0833333,94,94
California,Lake,61,100,100
California,Lassen,23.41666667,104,104
California,Los Angeles,6112.833333,139,139
California,Madera,133.75,153,153
California,Marin,108.5833333,168,168
California,Mariposa,9,178,178
California,Mendocino,92,190,190
California,Merced,229.5833333,204,204
California,Modoc,10.75,207,207
California,Mono,9,214,214
California,Monterey,270.3333333,228,228
California,Napa,63.83333333,236,236
California,Nevada,57.33333333,243,243
California,Orange,1392.5,257,257
California,Placer,210.5,266,266
California,Plumas,24.83333333,275,275
California,Riverside,1176,281,281
California,Sacramento,939.5,289,289
California,San Benito,25.83333333,295,295
California,San Bernardino,1360.583333,302,302
California,San Diego,1637.75,315,315
California,San Francisco,436.3333333,331,331
California,San Joaquin,514,339,339
California,San Luis Obispo,150.5,351,351
California,San Mateo,260.5,368,368
California,Santa Barbara,238.0833333,391,391
California,Santa Clara,750.6666667,406,406
California,Santa Cruz,156.5833333,415,415
California,Shasta,165.8333333,431,431
California,Sierra,3,439,439
California,Siskiyou,51.66666667,446,446
California,Solano,229.75,453,453
California,Sonoma,301.9166667,463,463
California,Stanislaus,451.5,473,473
