County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Alabama,Autauga,96.1%,86.9%,9.2%,0.3%,0.8%,0.0%,0.8%,1.9%,35.8%,63.4%,11.4%,9.4%,13.1%,16.6%,8.6%,20.2%,8.4%,8.5%,3.8%,25.1,1.5%,15.2%,42.7%,40.6%,5
Alabama,Baldwin,94.0%,83.5%,10.5%,0.3%,1.4%,0.1%,0.9%,3.2%,74.4%,20.2%,13.7%,13.9%,15.1%,13.3%,5.6%,16.9%,6.0%,7.9%,7.6%,25.8,1.5%,15.8%,46.9%,35.8%,20
Alabama,Barbour,93.7%,79.0%,14.8%,0.3%,2.3%,0.1%,1.6%,1.9%,75.3%,19.3%,21.9%,16.8%,12.9%,9.4%,5.7%,11.9%,5.6%,8.0%,7.8%,23.8,3.3%,23.1%,35.7%,37.9%,25
Alabama,Bibb,95.5%,85.0%,10.5%,0.5%,0.9%,0.0%,1.2%,1.8%,41.6%,58.4%,13.2%,11.1%,9.8%,9.7%,3.6%,15.2%,17.7%,11.4%,8.3%,28.3,1.9%,11.6%,40.9%,45.6%,29
Alabama,Blount,94.9%,80.6%,14.3%,0.1%,1.5%,0.0%,0.3%,3.3%,36.6%,62.0%,10.1%,9.1%,9.6%,8.9%,4.9%,14.0%,11.1%,18.3%,14.0%,33.2,0.7%,13.8%,36.5%,49.0%,33
Alabama,Bullock,96.6%,81.8%,14.8%,0.0%,1.8%,0.0%,1.4%,0.1%,53.9%,46.1%,19.0%,13.4%,10.5%,8.6%,4.0%,6.8%,5.0%,16.5%,16.2%,28.1,3.6%,27.7%,41.1%,27.6%,37
Alabama,Butler,96.6%,87.7%,8.9%,0.4%,0.6%,0.0%,1.5%,0.8%,72.5%,26.1%,17.3%,16.9%,19.2%,7.0%,3.9%,11.8%,4.7%,8.4%,10.8%,25.1,2.2%,21.5%,39.1%,37.2%,39
Alabama,Calhoun,95.4%,85.9%,9.5%,0.3%,1.0%,0.2%,1.4%,1.6%,83.2%,14.5%,15.1%,15.9%,19.4%,15.8%,6.9%,11.6%,5.5%,5.0%,4.9%,22.1,1.6%,18.5%,41.3%,38.6%,43
Alabama,Chambers,94.9%,82.4%,12.4%,0.2%,0.6%,0.0%,1.2%,3.2%,44.6%,29.0%,10.8%,16.9%,20.0%,13.0%,5.8%,17.0%,4.6%,7.0%,4.9%,23.6,2.7%,20.6%,41.7%,35.0%,47
Alabama,Cherokee,94.8%,77.9%,16.9%,0.0%,0.5%,0.0%,3.0%,1.7%,45.9%,25.8%,13.0%,12.1%,14.3%,11.1%,8.9%,16.2%,9.0%,7.1%,8.3%,26.2,0.9%,16.4%,47.2%,35.5%,51
Alabama,Chilton,96.4%,80.9%,15.5%,0.1%,1.0%,0.2%,0.6%,1.6%,45.8%,52.2%,11.6%,11.8%,12.3%,9.9%,3.5%,12.9%,6.9%,16.4%,14.6%,32.0,1.2%,16.3%,38.1%,44.4%,56
Alabama,Choctaw,94.4%,79.2%,15.2%,0.2%,0.9%,0.0%,1.4%,3.2%,70.0%,15.0%,16.0%,10.3%,12.6%,10.0%,5.7%,12.0%,4.7%,12.7%,16.0%,34.8,0.8%,15.0%,40.3%,43.9%,58
Alabama,Clarke,96.9%,90.1%,6.9%,0.3%,0.7%,0.3%,0.7%,1.1%,77.3%,20.0%,22.5%,15.7%,19.3%,11.0%,3.8%,9.4%,3.0%,4.5%,10.8%,25.1,1.3%,21.2%,35.5%,41.9%,61
Alabama,Clay,93.7%,79.3%,14.4%,0.2%,1.0%,0.0%,0.3%,4.9%,59.1%,39.7%,16.6%,12.6%,16.1%,11.7%,3.8%,10.6%,4.3%,14.5%,9.9%,27.3,1.2%,19.2%,28.6%,51.0%,65
Alabama,Cleburne,92.8%,79.2%,13.6%,0.0%,2.0%,0.0%,1.3%,3.9%,39.1%,27.8%,15.7%,9.5%,11.4%,12.7%,4.7%,15.4%,6.5%,14.1%,10.0%,29.1,2.5%,13.6%,35.6%,48.3%,67
Alabama,Coffee,94.3%,84.6%,9.8%,0.1%,1.6%,0.1%,1.6%,2.4%,63.0%,35.5%,15.8%,18.4%,18.3%,16.9%,5.3%,12.7%,4.8%,4.7%,3.1%,20.7,2.5%,19.7%,41.9%,35.9%,70
Alabama,Colbert,95.9%,85.5%,10.4%,0.2%,1.3%,0.0%,1.1%,1.6%,63.7%,32.6%,16.4%,20.4%,16.4%,13.6%,4.6%,11.6%,3.9%,4.9%,8.2%,22.7,1.4%,16.9%,40.8%,41.0%,73
Alabama,Conecuh,99.1%,86.4%,12.7%,0.0%,0.0%,0.0%,0.5%,0.4%,55.1%,42.6%,20.1%,12.5%,13.6%,10.9%,5.0%,15.9%,9.0%,5.7%,7.3%,25.2,2.2%,25.8%,32.2%,39.7%,80
Alabama,Coosa,92.2%,78.8%,13.3%,0.8%,0.6%,0.0%,1.4%,5.1%,24.9%,74.0%,7.6%,9.2%,20.8%,11.6%,6.0%,16.7%,6.9%,6.8%,14.5%,30.2,0.5%,16.6%,38.1%,44.8%,82
Alabama,Covington,91.2%,79.5%,11.7%,0.0%,1.9%,0.0%,4.1%,2.8%,81.7%,12.3%,28.2%,17.0%,16.5%,11.5%,4.3%,8.8%,3.2%,3.0%,7.6%,20.8,2.6%,18.9%,38.9%,39.6%,88
Alabama,Crenshaw,92.2%,80.4%,11.8%,0.0%,1.4%,0.2%,1.3%,4.9%,57.9%,39.8%,16.7%,13.7%,12.6%,7.8%,7.5%,12.3%,6.2%,10.5%,12.7%,27.4,4.8%,15.9%,38.9%,40.4%,90
Alabama,Cullman,95.5%,80.2%,15.3%,0.1%,0.9%,0.0%,0.9%,2.5%,68.6%,30.1%,14.2%,15.6%,13.5%,13.5%,6.2%,12.1%,5.5%,7.7%,11.7%,27.4,2.0%,14.1%,40.0%,43.9%,98
Alabama,Dale,93.4%,82.5%,10.8%,0.3%,2.9%,0.1%,1.2%,2.1%,61.3%,37.0%,19.5%,16.3%,20.5%,14.5%,6.2%,11.1%,3.5%,5.1%,3.2%,20.0,1.5%,21.7%,41.0%,35.7%,101
Alabama,Dallas,95.8%,84.2%,11.7%,0.1%,1.4%,0.1%,1.6%,1.0%,83.9%,14.8%,15.9%,22.5%,19.9%,10.6%,3.3%,8.2%,3.4%,5.0%,11.2%,24.7,4.1%,20.0%,37.2%,38.7%,110
