State,County,# of Ranked Counties,Mortality Rank,Morbidity Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Georgia,Tift,157,51,134,70,31,142,131,87
Georgia,Toombs,157,91,102,141,37,123,31,91
Georgia,Towns,157,66,2,15,97,16,3,95
Georgia,Treutlen,157,114,48,97,73,128,2,102
Georgia,Troup,157,97,30,46,30,78,25,105
Georgia,Turner,157,132,152,110,16,143,70,108
Georgia,Twiggs,157,122,153,118,84,119,39,116
Georgia,Union,157,44,22,9,67,13,13,120
Georgia,Upson,157,117,142,103,41,93,67,123
Georgia,Walker,157,92,89,89,28,62,12,126
Georgia,Walton,157,40,27,29,47,40,101,127
Georgia,Ware,157,131,101,123,56,100,84,132
Georgia,Warren,157,144,127,126,100,146,48,135
Georgia,Washington,157,84,100,129,35,95,110,143
Georgia,Wayne,157,94,64,142,74,98,94,147
Georgia,Webster,157,72,90,127,139,70,32,149
Georgia,Wheeler,157,48,44,119,157,109,26,154
Georgia,White,157,57,26,18,76,22,22,157
Georgia,Whitfield,157,38,34,102,102,86,89,159
Georgia,Wilcox,157,128,117,68,128,107,109,163
Georgia,Wilkes,157,75,125,88,131,89,90,167
Georgia,Wilkinson,157,83,112,100,115,41,38,169
Georgia,Worth,157,56,129,82,82,97,92,173
Hawaii,Hawaii,4,4,4,3,2,4,3,198
Hawaii,Honolulu,4,1,3,1,1,1,4,234
Hawaii,Kalawao,4,NR,NR,NR,NR,NR,NR,247
Hawaii,Kauai,4,2,1,2,3,3,2,261
Hawaii,Maui,4,3,2,4,4,2,1,323
Idaho,Ada,42,5,12,9,1,6,42,336
Idaho,Adams,42,20,16,33,20,36,14,338
Idaho,Bannock,42,18,28,20,4,18,10,343
Idaho,Bear Lake,42,31,41,6,16,10,20,349
Idaho,Benewah,42,12,35,35,26,42,28,354
Idaho,Bingham,42,33,24,24,22,15,33,362
Idaho,Blaine,42,6,3,2,11,3,26,371
Idaho,Boise,42,30,39,19,31,29,21,380
Idaho,Bonner,42,25,11,13,13,28,29,387
Idaho,Bonneville,42,14,19,12,7,8,31,395
Idaho,Boundary,42,41,4,25,5,39,37,405
Idaho,Butte,42,20,42,17,33,11,8,414
Idaho,Camas,42,NR,NR,NR,NR,NR,NR,429
Idaho,Canyon,42,26,18,32,15,38,38,441
Idaho,Caribou,42,24,9,8,17,7,34,449
Idaho,Cassia,42,17,17,16,25,23,13,456
Idaho,Clark,42,NR,NR,NR,NR,NR,NR,464
Idaho,Clearwater,42,39,25,22,19,41,24,474
Idaho,Custer,42,20,7,15,30,14,3,484
Idaho,Elmore,42,16,32,41,24,24,19,490
Idaho,Franklin,42,4,5,5,21,5,40,498
Idaho,Fremont,42,7,38,4,38,22,23,502
Idaho,Gem,42,32,30,42,9,35,39,510
Idaho,Gooding,42,37,31,34,42,20,1,519
Idaho,Idaho,42,13,6,26,37,34,12,528
Idaho,Jefferson,42,10,8,10,28,9,25,540
Idaho,Jerome,42,35,37,38,27,31,22,547
Idaho,Kootenai,42,11,13,18,3,17,18,552
Idaho,Latah,42,1,1,7,18,2,32,559
Idaho,Lemhi,42,15,14,23,32,32,41,566
Idaho,Lewis,42,40,23,37,36,21,36,574
Idaho,Lincoln,42,42,34,36,29,27,7,578
Idaho,Madison,42,2,2,1,34,1,6,581
Idaho,Minidoka,42,38,22,30,40,37,5,585
Idaho,Nez Perce,42,36,27,31,14,13,11,589
Idaho,Oneida,42,20,10,11,35,12,2,593
Idaho,Owyhee,42,29,26,39,39,26,27,601
Idaho,Payette,42,19,36,29,8,33,4,606
Idaho,Power,42,3,20,21,23,25,9,613
Idaho,Shoshone,42,34,40,40,12,40,30,621
Idaho,Teton,42,8,29,3,41,4,15,627
Idaho,Twin Falls,42,27,15,28,10,16,16,634
Idaho,Valley,42,9,21,27,2,19,35,643
Idaho,Washington,42,28,33,14,6,30,17,649
Illinois,Adams,101,26,55,9,8,18,53,650
Illinois,Alexander,101,99,100,99,6,101,94,651
Illinois,Bond,101,36,81,74,60,42,13,652
Illinois,Boone,101,11,63,4,61,82,50,653
Illinois,Brown,101,30,27,80,36,16,2,654
Illinois,Bureau,101,48,20,16,87,35,65,2
Illinois,Calhoun,101,19,26,26,90,33,98,4
Illinois,Carroll,101,16,8,13,23,45,11,6
Illinois,Cass,101,71,71,52,83,46,18,10
Illinois,Champaign,101,25,41,49,17,31,60,12
Illinois,Christian,101,68,66,45,33,66,33,14
Illinois,Clark,101,89,33,44,53,73,61,19
Illinois,Clay,101,66,36,64,79,75,74,22
Illinois,Clinton,101,38,10,14,55,28,6,27
Illinois,Coles,101,58,49,11,49,49,8,30
Illinois,Cook,101,60,87,3,28,88,100,36
Illinois,Crawford,101,32,61,51,56,70,66,40
Illinois,Cumberland,101,85,22,42,89,54,47,44
Illinois,DeKalb,101,13,58,12,84,10,40,49
Illinois,De Witt,101,75,80,60,43,37,29,53
Illinois,Douglas,101,59,14,33,69,22,1,55
Illinois,DuPage,101,1,18,1,2,1,83,64
Illinois,Edgar,101,78,56,39,68,76,68,66
Illinois,Edwards,101,100,45,47,81,48,49,71
Illinois,Effingham,101,22,12,27,52,24,92,76
Illinois,Fayette,101,55,70,62,100,85,48,79
Illinois,Ford,101,56,1,41,22,29,64,81
Illinois,Franklin,101,96,89,91,66,98,81,85
Illinois,Fulton,101,76,90,87,54,60,44,89
Illinois,Gallatin,101,92,93,65,95,95,93,92
Illinois,Greene,101,74,73,67,96,72,4,96
Illinois,Grundy,101,21,11,77,72,13,38,99
Illinois,Hamilton,101,88,84,48,101,68,95,106
Illinois,Hancock,101,50,17,21,45,40,58,111
Illinois,Hardin,101,100,99,76,98,99,91,113
Illinois,Henderson,101,57,37,75,97,53,54,117
Illinois,Henry,101,10,15,10,48,32,10,121
Illinois,Iroquois,101,65,5,81,85,61,35,125
Illinois,Jackson,101,63,79,100,31,78,78,129
Illinois,Jasper,101,43,57,36,74,43,73,133
Illinois,Jefferson,101,40,96,94,50,64,75,137
Illinois,Jersey,101,37,53,20,80,20,99,142
Illinois,Jo Daviess,101,17,2,18,71,17,56,145
Illinois,Johnson,101,53,46,57,92,77,34,152
Illinois,Kane,101,7,35,25,41,19,84,156
Illinois,Kankakee,101,81,74,98,34,81,22,161
Illinois,Kendall,101,2,3,5,19,2,25,165
Illinois,Knox,101,49,48,34,14,84,31,166
Illinois,Lake,101,3,44,2,16,11,82,170
Illinois,LaSalle,101,82,68,85,82,87,57,175
Illinois,Lawrence,101,95,72,22,88,79,86,177
Illinois,Lee,101,41,39,83,7,56,59,180
Illinois,Livingston,101,70,91,93,37,26,28,182
Illinois,Logan,101,20,62,89,4,39,12,186
Illinois,McDonough,101,12,13,59,76,15,43,189
Illinois,McHenry,101,4,19,29,27,5,70,192
Illinois,McLean,101,14,28,7,10,7,76,193
Illinois,Macon,101,79,85,101,5,86,80,194
Illinois,Macoupin,101,52,69,95,77,58,14,196
Illinois,Madison,101,64,82,88,57,52,101,199
Illinois,Marion,101,93,98,92,73,91,89,201
Illinois,Marshall,101,34,83,37,75,14,9,202
Illinois,Mason,101,84,64,70,44,83,7,206
Illinois,Massac,101,90,94,46,58,80,41,208
Illinois,Menard,101,73,51,58,59,23,2,212
Illinois,Mercer,101,18,7,31,78,47,20,216
Illinois,Monroe,101,9,29,6,29,3,45,219
Illinois,Montgomery,101,87,65,35,63,90,52,223
Illinois,Morgan,101,45,78,66,38,44,69,225
Illinois,Moultrie,101,35,67,23,46,12,67,227
Illinois,Ogle,101,23,31,38,25,41,21,229
Illinois,Peoria,101,77,60,86,1,69,77,233
Illinois,Perry,101,29,76,82,67,93,36,235
Illinois,Piatt,101,6,50,24,64,6,24,238
Illinois,Pike,101,27,40,54,40,51,26,241
Illinois,Pope,101,NR,NR,NR,NR,NR,NR,245
Illinois,Pulaski,101,97,97,90,20,100,90,248
Illinois,Putnam,101,62,52,40,93,30,16,253
Illinois,Randolph,101,46,24,56,30,57,46,255
Illinois,Richland,101,69,47,78,18,50,88,259
Illinois,Rock Island,101,24,54,61,32,65,79,265
Illinois,St. Clair,101,94,95,97,9,97,97,269
Illinois,Saline,101,98,92,55,24,92,51,271
Illinois,Sangamon,101,51,77,79,3,71,87,274
Illinois,Schuyler,101,42,9,28,21,27,72,278
Illinois,Scott,101,15,32,50,94,36,15,280
Illinois,Shelby,101,28,25,17,99,38,39,283
Illinois,Stark,101,86,38,43,86,21,27,285
Illinois,Stephenson,101,39,34,68,11,63,55,290
Illinois,Tazewell,101,47,42,71,15,9,19,291
Illinois,Union,101,67,23,72,35,89,17,293
Illinois,Vermilion,101,91,101,96,62,96,62,296
Illinois,Wabash,101,31,59,19,47,62,96,299
Illinois,Warren,101,44,16,32,39,25,71,301
Illinois,Washington,101,83,4,69,91,34,23,305
Illinois,Wayne,101,33,21,63,65,55,63,310
Illinois,White,101,72,75,30,70,59,37,312
Illinois,Whiteside,101,61,30,73,42,67,30,314
Illinois,Will,101,8,43,15,51,8,32,320
Illinois,Williamson,101,80,88,84,13,74,85,324
Illinois,Winnebago,101,54,86,53,12,94,42,325
Illinois,Woodford,101,5,6,8,26,4,5,328
Indiana,Adams,92,20,11,10,42,67,31,330
Indiana,Allen,92,29,45,53,10,52,88,335
Indiana,Bartholomew,92,43,27,59,6,18,63,342
Indiana,Benton,92,54,18,58,79,16,36,179
Indiana,Blackford,92,47,66,50,28,74,45,183
Indiana,Boone,92,3,5,18,3,5,65,185
Indiana,Brown,92,22,9,5,54,26,19,188
Indiana,Carroll,92,28,25,51,33,23,50,195
Indiana,Cass,92,48,31,61,58,51,64,211
Indiana,Clark,92,61,53,77,47,44,78,215
Indiana,Clay,92,76,56,87,76,57,15,221
Indiana,Clinton,92,50,58,9,70,36,69,226
Indiana,Crawford,92,84,79,63,67,88,62,232
Indiana,Daviess,92,39,61,44,84,28,7,239
Indiana,Dearborn,92,25,30,21,39,17,14,242
Indiana,Decatur,92,36,24,42,22,54,71,246
Indiana,DeKalb,92,10,10,54,12,30,8,249
Indiana,Delaware,92,79,82,79,19,69,84,252
Indiana,Dubois,92,8,1,4,21,4,66,254
Indiana,Elkhart,92,21,15,35,41,87,60,260
Indiana,Fayette,92,78,86,55,66,92,38,263
Indiana,Floyd,92,24,64,68,15,39,83,267
Indiana,Fountain,92,53,48,70,90,33,6,270
Indiana,Franklin,92,13,55,32,50,20,5,272
Indiana,Fulton,92,60,50,33,81,64,12,276
Indiana,Gibson,92,9,37,14,23,19,55,286
Indiana,Grant,92,66,83,73,46,86,39,297
Indiana,Greene,92,73,81,31,85,65,76,309
Indiana,Hamilton,92,1,2,1,1,1,80,321
Indiana,Hancock,92,23,23,11,14,3,70,329
Indiana,Harrison,92,41,36,38,36,25,46,334
Indiana,Hendricks,92,2,6,6,17,2,34,341
Indiana,Henry,92,77,44,76,35,49,53,344
Indiana,Howard,92,49,46,16,11,83,54,348
Indiana,Huntington,92,15,49,71,16,45,81,352
Indiana,Jackson,92,63,70,83,27,31,75,355
Indiana,Jasper,92,62,34,26,26,21,2,356
Indiana,Jay,92,71,67,57,56,63,61,358
Indiana,Jefferson,92,46,62,89,31,56,27,363
Indiana,Jennings,92,81,78,91,30,80,33,367
Indiana,Johnson,92,12,35,12,13,11,74,370
Indiana,Knox,92,82,59,62,44,55,68,376
Indiana,Kosciusko,92,30,19,47,48,40,44,384
Indiana,LaGrange,92,5,8,19,57,61,52,386
Indiana,Lake,92,86,76,92,68,91,91,389
Indiana,LaPorte,92,69,52,72,40,77,79,392
Indiana,Lawrence,92,75,57,39,64,85,28,396
Indiana,Madison,92,70,85,86,20,81,86,401
Indiana,Marion,92,80,73,75,7,90,92,409
Indiana,Marshall,92,14,4,17,32,42,20,412
Indiana,Martin,92,90,72,48,77,37,21,418
Indiana,Miami,92,51,29,65,37,76,29,420
Indiana,Monroe,92,11,33,2,43,15,17,422
Indiana,Montgomery,92,52,54,81,45,22,41,425
Indiana,Morgan,92,31,51,66,52,24,25,430
Indiana,Newton,92,85,41,46,86,35,13,433
Indiana,Noble,92,45,32,69,74,66,59,436
Indiana,Ohio,92,35,38,23,69,27,1,440
Indiana,Orange,92,33,87,84,29,71,11,444
Indiana,Owen,92,65,47,88,49,70,23,448
Indiana,Parke,92,67,74,29,80,73,37,452
Indiana,Perry,92,74,91,43,51,47,90,459
Indiana,Pike,92,87,90,22,72,38,87,465
Indiana,Porter,92,16,22,25,38,10,67,468
Indiana,Posey,92,34,20,41,65,8,56,471
Indiana,Pulaski,92,72,39,45,82,29,32,477
Indiana,Putnam,92,17,13,13,63,46,24,480
Indiana,Randolph,92,37,69,20,78,62,47,485
Indiana,Ripley,92,32,16,37,59,43,26,488
Indiana,Rush,92,27,71,34,89,58,51,493
Indiana,St. Joseph,92,38,43,60,9,78,42,496
Indiana,Scott,92,92,92,64,71,82,9,504
Indiana,Shelby,92,58,77,74,55,32,48,506
Indiana,Spencer,92,44,40,28,25,13,43,509
Indiana,Starke,92,91,84,85,87,89,18,512
Indiana,Steuben,92,19,60,78,34,53,35,515
Indiana,Sullivan,92,88,88,52,92,60,16,518
Indiana,Switzerland,92,89,89,49,83,75,4,526
Indiana,Tippecanoe,92,18,17,7,75,14,49,530
Indiana,Tipton,92,26,7,3,60,41,77,534
Indiana,Union,92,83,28,56,61,50,85,538
Indiana,Vanderburgh,92,57,80,30,4,59,89,543
Indiana,Vermillion,92,59,65,82,91,68,30,548
Indiana,Vigo,92,68,68,80,18,79,82,553
Indiana,Wabash,92,56,42,67,5,48,57,555
Indiana,Warren,92,40,3,27,88,6,3,567
Indiana,Warrick,92,4,26,8,2,7,22,575
Indiana,Washington,92,55,63,90,53,72,10,584
Indiana,Wayne,92,64,75,40,62,84,72,586
Indiana,Wells,92,7,21,15,8,12,58,590
Indiana,White,92,42,14,24,73,34,73,594
Indiana,Whitley,92,6,12,36,24,9,40,597
Iowa,Adair,99,88,3,75,83,57,4,598
Iowa,Adams,99,51,74,65,31,49,21,602
Iowa,Allamakee,99,33,15,82,86,90,31,608
Iowa,Appanoose,99,95,99,91,53,97,26,611
Iowa,Audubon,99,66,10,62,76,53,8,615
Iowa,Benton,99,24,21,57,63,21,49,619
Iowa,Black Hawk,99,40,88,39,3,80,40,623
Iowa,Boone,99,54,42,97,27,29,24,625
Iowa,Bremer,99,5,6,17,11,5,71,631
Iowa,Buchanan,99,46,46,45,70,55,28,632
Iowa,Buena Vista,99,17,26,42,90,41,84,633
Iowa,Butler,99,55,85,5,73,36,36,361
Iowa,Calhoun,99,96,22,68,93,28,12,365
Iowa,Carroll,99,10,31,21,25,11,48,369
Iowa,Cass,99,59,36,60,8,65,7,374
Iowa,Cedar,99,21,17,44,24,6,41,379
Iowa,Cerro Gordo,99,71,44,15,2,79,68,383
Iowa,Cherokee,99,11,11,10,40,18,85,388
Iowa,Chickasaw,99,62,55,89,62,58,18,393
Iowa,Clarke,99,98,12,64,84,62,8,397
Iowa,Clay,99,70,45,66,43,40,83,398
Iowa,Clayton,99,37,18,35,78,73,74,402
Iowa,Clinton,99,83,96,90,18,74,98,404
Iowa,Crawford,99,22,35,74,85,20,57,408
Iowa,Dallas,99,18,48,14,9,7,50,413
Iowa,Davis,99,49,34,27,98,63,33,416
Iowa,Decatur,99,65,86,20,61,76,21,419
Iowa,Delaware,99,7,9,63,33,26,81,421
Iowa,Des Moines,99,82,78,88,35,99,76,424
Iowa,Dickinson,99,9,24,26,58,24,97,427
Iowa,Dubuque,99,34,13,13,5,35,78,434
Iowa,Emmet,99,76,39,55,45,56,43,437
Iowa,Fayette,99,73,23,93,66,86,69,442
Iowa,Floyd,99,26,80,71,20,92,65,447
Iowa,Franklin,99,13,47,23,41,46,80,451
Iowa,Fremont,99,23,81,87,97,66,73,455
Iowa,Greene,99,64,28,67,51,38,79,458
Iowa,Grundy,99,16,69,9,49,8,3,460
Iowa,Guthrie,99,79,38,12,89,37,26,467
Iowa,Hamilton,99,30,60,85,87,33,86,469
Iowa,Hancock,99,15,59,78,37,61,53,470
Iowa,Hardin,99,85,70,61,59,39,60,475
Iowa,Harrison,99,87,92,83,72,30,89,478
Iowa,Henry,99,67,50,16,30,77,33,479
Iowa,Howard,99,44,32,7,7,70,14,481
Iowa,Humboldt,99,57,33,30,39,22,70,487
Iowa,Ida,99,25,95,59,95,23,4,491
Iowa,Iowa,99,31,62,51,26,19,96,495
Iowa,Jackson,99,77,77,32,32,64,91,499
Iowa,Jasper,99,41,75,92,36,87,36,505
Iowa,Jefferson,99,80,30,40,68,67,39,507
Iowa,Johnson,99,1,19,1,1,2,82,508
Iowa,Jones,99,14,82,48,42,48,77,516
Iowa,Keokuk,99,74,52,19,71,50,47,520
Iowa,Kossuth,99,6,61,22,54,27,92,523
Iowa,Lee,99,92,89,84,55,98,19,531
Iowa,Linn,99,36,49,58,4,31,95,535
Iowa,Louisa,99,42,97,95,92,84,29,539
Iowa,Lucas,99,56,58,53,44,60,33,542
Iowa,Lyon,99,19,2,8,88,3,41,546
Iowa,Madison,99,12,76,29,80,52,51,550
Iowa,Mahaska,99,88,73,38,10,59,46,554
Iowa,Marion,99,29,37,43,19,17,20,561
Iowa,Marshall,99,63,56,86,17,88,75,568
Iowa,Mills,99,94,68,94,52,44,52,569
Iowa,Mitchell,99,4,14,18,74,43,64,572
Iowa,Monona,99,72,40,28,79,93,67,576
Iowa,Monroe,99,58,84,50,50,82,1,580
Iowa,Montgomery,99,45,87,73,82,91,66,595
Iowa,Muscatine,99,50,66,72,13,85,88,600
Iowa,O'Brien,99,48,1,56,46,15,30,604
Iowa,Osceola,99,91,20,25,60,13,94,607
Iowa,Page,99,38,90,96,67,89,63,612
Iowa,Palo Alto,99,39,53,31,81,25,87,618
Iowa,Plymouth,99,78,16,69,29,14,25,622
Iowa,Pocahontas,99,93,7,36,75,16,10,624
Iowa,Polk,99,61,71,34,12,47,93,629
Iowa,Pottawattamie,99,86,91,99,56,96,72,637
Iowa,Poweshiek,99,20,25,52,14,45,6,640
Iowa,Ringgold,99,51,29,3,91,75,90,642
Iowa,Sac,99,47,54,79,99,51,2,647
Iowa,Scott,99,68,64,47,15,72,99,657
Iowa,Shelby,99,27,51,11,69,12,12,660
Iowa,Sioux,99,2,4,2,48,4,62,663
Iowa,Story,99,8,8,4,64,1,56,668
Iowa,Tama,99,43,72,80,57,83,59,671
Iowa,Taylor,99,51,94,46,65,34,16,674
Iowa,Union,99,35,65,41,34,71,44,675
Iowa,Van Buren,99,99,83,49,96,94,15,678
Iowa,Wapello,99,90,93,70,23,95,16,681
Iowa,Warren,99,32,63,81,21,9,55,685
Iowa,Washington,99,28,57,33,47,32,32,687
Iowa,Wayne,99,97,98,76,94,69,61,691
Iowa,Webster,99,84,27,77,77,81,54,694
Iowa,Winnebago,99,75,67,24,6,68,23,696
Iowa,Winneshiek,99,3,5,6,28,10,58,698
Iowa,Woodbury,99,69,79,98,16,78,38,702
Iowa,Worth,99,60,43,54,38,54,45,703
Iowa,Wright,99,81,41,37,22,42,11,705
Kansas,Allen,99,95,75,98,76,82,84,709
Kansas,Anderson,99,92,89,49,35,78,81,712
Kansas,Atchison,99,82,73,95,14,68,41,715
Kansas,Barber,99,41,15,30,88,16,59,717
Kansas,Barton,99,34,87,83,36,63,14,719
Kansas,Bourbon,99,98,86,82,22,92,58,722
Kansas,Brown,99,85,51,81,25,76,60,723
Kansas,Butler,99,16,59,38,16,35,36,726
Kansas,Chase,99,41,7,62,31,39,86,729
Kansas,Chautauqua,99,41,97,28,74,85,68,730
Kansas,Cherokee,99,96,91,73,44,95,20,732
Kansas,Cheyenne,99,41,18,16,92,32,16,736
Kansas,Clark,99,41,70,50,47,31,5,738
Kansas,Clay,99,21,8,55,7,41,80,739
Kansas,Cloud,99,73,9,17,75,59,40,740
Kansas,Coffey,99,28,5,24,81,48,82,745
Kansas,Comanche,99,41,40,11,72,6,5,748
Kansas,Cowley,99,84,81,86,13,80,64,752
Kansas,Crawford,99,80,95,90,46,88,38,756
Kansas,Decatur,99,41,21,79,49,36,47,759
Kansas,Dickinson,99,26,38,85,30,34,79,762
Kansas,Doniphan,99,19,56,67,38,65,10,765
Kansas,Douglas,99,3,36,4,20,14,4,767
Kansas,Edwards,99,41,68,43,64,43,91,770
Kansas,Elk,99,41,99,42,65,98,88,773
Kansas,Ellis,99,6,28,56,69,9,63,774
Kansas,Ellsworth,99,11,63,18,73,11,53,776
Kansas,Finney,99,7,50,92,53,90,44,778
Kansas,Ford,99,10,25,32,42,69,9,784
Kansas,Franklin,99,27,55,88,27,71,25,786
Kansas,Geary,99,86,90,96,40,97,93,788
Kansas,Gove,99,41,24,15,90,19,61,790
Kansas,Graham,99,41,37,51,91,60,55,791
Kansas,Grant,99,12,48,94,79,58,3,794
Kansas,Gray,99,25,12,53,70,18,57,798
Kansas,Greeley,99,NR,NR,NR,NR,NR,NR,801
Kansas,Greenwood,99,39,54,40,80,87,89,803
Kansas,Hamilton,99,41,66,71,94,72,85,805
Kansas,Harper,99,99,27,89,55,57,22,807
Kansas,Harvey,99,17,19,9,4,17,62,812
Kansas,Haskell,99,83,11,69,95,25,13,815
Kansas,Hodgeman,99,NR,NR,NR,NR,NR,NR,818
Kansas,Jackson,99,33,47,61,33,79,69,819
Kansas,Jefferson,99,74,69,75,17,37,15,821
Kansas,Jewell,99,41,49,10,85,38,12,822
Kansas,Johnson,99,1,10,1,1,1,90,824
Kansas,Kearny,99,41,29,78,61,49,11,826
Kansas,Kingman,99,4,82,35,32,45,67,827
Kansas,Kiowa,99,41,3,7,19,44,5,829
Kansas,Labette,99,88,96,91,10,89,31,831
Kansas,Lane,99,NR,NR,NR,NR,NR,NR,833
Kansas,Leavenworth,99,15,35,27,23,54,95,836
Kansas,Lincoln,99,41,22,45,98,55,94,838
Kansas,Linn,99,38,83,72,56,86,26,840
Kansas,Logan,99,41,39,36,84,3,43,842
Kansas,Lyon,99,18,62,70,26,94,83,844
Kansas,McPherson,99,14,20,19,9,4,42,846
Kansas,Marion,99,32,44,26,21,7,78,848
Kansas,Marshall,99,20,57,87,52,28,50,850
Kansas,Meade,99,41,26,60,96,15,5,851
Kansas,Miami,99,24,45,54,11,46,18,853
Kansas,Mitchell,99,5,2,12,34,23,92,854
Kansas,Montgomery,99,97,98,93,39,93,49,856
Kansas,Morris,99,22,84,29,48,70,52,858
Kansas,Morton,99,41,14,31,99,51,75,859
Kansas,Nemaha,99,23,4,2,67,12,72,861
Kansas,Neosho,99,81,93,64,12,83,51,862
Kansas,Ness,99,41,32,23,82,13,21,864
Kansas,Norton,99,13,52,21,50,20,1,866
Kansas,Osage,99,78,72,77,15,77,27,867
Kansas,Osborne,99,41,42,46,58,56,17,869
Kansas,Ottawa,99,31,58,6,24,21,65,870
Kansas,Pawnee,99,36,71,65,37,33,46,872
Kansas,Phillips,99,41,31,57,87,40,24,873
Kansas,Pottawatomie,99,8,17,20,28,5,70,876
Kansas,Pratt,99,9,88,76,8,26,54,878
Kansas,Rawlins,99,41,34,13,68,42,56,880
Kansas,Reno,99,29,43,66,5,66,32,882
Kansas,Republic,99,41,61,44,59,24,74,884
Kansas,Rice,99,75,60,34,60,53,71,886
Kansas,Riley,99,2,6,8,51,2,98,888
Kansas,Rooks,99,91,46,22,45,50,34,889
Kansas,Rush,99,41,65,39,54,64,23,891
Kansas,Russell,99,89,64,47,62,73,77,893
Kansas,Saline,99,30,76,97,6,61,96,895
Kansas,Scott,99,41,33,48,41,8,28,897
Kansas,Sedgwick,99,76,77,59,3,74,45,898
Kansas,Seward,99,72,41,84,83,81,33,900
Kansas,Shawnee,99,37,74,68,2,84,48,902
Kansas,Sheridan,99,41,1,3,86,22,19,904
Kansas,Sherman,99,87,67,33,66,75,37,907
Kansas,Smith,99,41,13,5,63,52,35,909
Kansas,Stafford,99,41,80,74,89,62,30,911
Kansas,Stanton,99,NR,NR,NR,NR,NR,NR,913
Kansas,Stevens,99,93,53,58,97,47,1,914
Kansas,Sumner,99,40,78,63,43,67,97,916
Kansas,Thomas,99,35,30,52,71,10,66,917
Kansas,Trego,99,41,79,37,78,29,76,919
Kansas,Wabaunsee,99,79,16,25,29,30,87,920
Kansas,Wallace,99,NR,NR,NR,NR,NR,NR,921
Kansas,Washington,99,41,23,14,77,27,29,922
Kansas,Wichita,99,NR,NR,NR,NR,NR,NR,923
Kansas,Wilson,99,90,85,80,57,91,39,925
Kansas,Woodson,99,77,92,41,93,96,73,926
Kansas,Wyandotte,99,94,94,99,18,99,99,927
Kentucky,Adair,120,20,91,52,111,88,46,928
Kentucky,Allen,120,62,89,98,103,63,34,929
Kentucky,Anderson,120,13,8,42,26,16,54,930
Kentucky,Ballard,120,94,69,51,95,22,91,932
Kentucky,Barren,120,31,46,7,14,57,41,933
Kentucky,Bath,120,75,51,110,50,106,18,934
Kentucky,Bell,120,111,98,103,80,114,90,936
Kentucky,Boone,120,2,3,6,4,3,101,1002
Kentucky,Bourbon,120,30,66,97,20,33,88,1005
Kentucky,Boyd,120,65,90,64,8,31,110,1008
Kentucky,Boyle,120,25,41,11,21,37,46,1010
Kentucky,Bracken,120,40,57,113,45,38,84,1013
Kentucky,Breathitt,120,115,82,116,64,104,58,1017
Kentucky,Breckinridge,120,80,45,46,88,58,53,1020
Kentucky,Bullitt,120,8,24,25,61,30,95,1024
Kentucky,Butler,120,97,27,68,101,82,78,1026
Kentucky,Caldwell,120,73,54,88,59,50,12,1031
Kentucky,Calloway,120,4,5,8,81,7,65,1033
Kentucky,Campbell,120,42,22,10,6,6,118,1035
Kentucky,Carlisle,120,5,70,26,110,45,100,1039
Kentucky,Carroll,120,77,30,92,54,67,66,1041
Kentucky,Carter,120,95,87,106,32,94,104,1044
Kentucky,Casey,120,83,77,29,115,83,18,1048
Kentucky,Christian,120,46,55,79,60,95,109,1050
Kentucky,Clark,120,69,73,70,5,43,43,1053
Kentucky,Clay,120,92,120,84,73,120,62,1056
Kentucky,Clinton,120,96,60,34,104,73,7,1059
Kentucky,Crittenden,120,88,18,87,99,53,70,1064
Kentucky,Cumberland,120,85,62,66,113,101,18,1067
Kentucky,Daviess,120,23,20,24,23,15,115,1071
Kentucky,Edmonson,120,19,39,67,116,64,77,1073
Kentucky,Elliott,120,87,94,112,36,110,7,1075
Kentucky,Estill,120,100,64,41,35,98,18,1077
Kentucky,Fayette,120,14,11,2,1,4,108,1080
Kentucky,Fleming,120,66,49,17,83,75,55,1083
Kentucky,Floyd,120,105,116,111,85,93,86,1085
Kentucky,Franklin,120,12,10,49,27,14,107,1086
Kentucky,Fulton,120,104,115,13,12,96,105,1088
Kentucky,Gallatin,120,38,95,63,87,68,75,1090
Kentucky,Garrard,120,7,85,36,67,39,36,1092
Kentucky,Grant,120,53,104,86,58,69,81,1094
Kentucky,Graves,120,45,47,77,93,54,98,1097
Kentucky,Grayson,120,52,58,37,42,105,11,1100
Kentucky,Green,120,26,67,39,117,49,7,1102
Kentucky,Greenup,120,61,76,47,18,29,68,1105
Kentucky,Hancock,120,58,6,3,39,11,27,1107
Kentucky,Hardin,120,11,25,33,44,24,103,1110
Kentucky,Harlan,120,117,112,61,77,115,76,1114
Kentucky,Harrison,120,63,40,56,19,13,44,1119
Kentucky,Hart,120,49,29,95,71,87,18,1121
Kentucky,Henderson,120,55,81,43,62,34,116,1126
Kentucky,Henry,120,51,36,50,78,51,96,1129
Kentucky,Hickman,120,107,56,19,114,70,80,1130
Kentucky,Hopkins,120,64,71,82,9,77,57,1136
Kentucky,Jackson,120,86,107,108,70,118,46,1140
Kentucky,Jefferson,120,35,37,12,2,47,120,1143
Kentucky,Jessamine,120,33,7,5,7,17,94,1145
Kentucky,Johnson,120,98,99,104,79,66,62,1148
Kentucky,Kenton,120,41,19,21,3,19,117,1151
