state,declarationDate,incidentType,designatedArea
KY,2000-01-10T13:00:00.000Z,Tornado,Ballard (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Breckinridge (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Carlisle (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Livingston (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Spencer (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Hancock (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Henderson (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Crittenden (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Daviess (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Hopkins (County)
KY,2000-01-10T13:00:00.000Z,Tornado,Webster (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Banks (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Barrow (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Bartow (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Butts (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Carroll (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Catoosa (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Chattooga (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Cherokee (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Clarke (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Cobb (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Dawson (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),DeKalb (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Elbert (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Fannin (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Floyd (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Forsyth (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Franklin (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Fulton (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Douglas (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gilmer (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gordon (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Greene (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Gwinnett (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Habersham (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Hall (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Haralson (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Hart (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Henry (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jackson (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jasper (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Jones (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Lamar (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Lumpkin (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Monroe (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Newton (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Oconee (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Oglethorpe (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Paulding (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Pickens (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Pike (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Rabun (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Rockdale (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Spalding (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Stephens (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Taliaferro (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Union (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Walker (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Upson (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Walton (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),White (County)
GA,2000-01-28T17:45:00.000Z,Severe Storm(s),Wilkes (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Alamance (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Cabarrus (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Caswell (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Chatham (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Davidson (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Anson (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Durham (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Edgecombe (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Granville (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Guilford (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Halifax (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Harnett (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Hoke (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Franklin (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Johnston (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Lee (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Mecklenburg (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Montgomery (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Nash (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Moore (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Northampton (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Orange (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Person (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Randolph (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Richmond (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Union (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Vance (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Scotland (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Stanly (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Rockingham (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Wake (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Warren (County)
NC,2000-01-31T18:30:00.000Z,Severe Storm(s),Wilson (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Edgefield (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Abbeville (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Allendale (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Bamberg (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Barnwell (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Berkeley (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Calhoun (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Charleston (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Aiken (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Cherokee (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Chester (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Chesterfield (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Clarendon (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Colleton (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Darlington (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Dillon (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Dorchester (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Florence (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Georgetown (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Greenwood (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Fairfield (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Lancaster (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Laurens (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Lee (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Kershaw (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),McCormick (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Marion (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Lexington (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Newberry (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Orangeburg (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Richland (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Saluda (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Spartanburg (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Sumter (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Marlboro (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Williamsburg (County)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),York (County)
LA,2000-02-15T17:30:00.000Z,Snow,Bienville (Parish)
LA,2000-02-15T17:30:00.000Z,Snow,Claiborne (Parish)
LA,2000-02-15T17:30:00.000Z,Snow,Lincoln (Parish)
LA,2000-02-15T17:30:00.000Z,Snow,Ouachita (Parish)
SC,2000-01-31T18:45:00.000Z,Severe Storm(s),Union (County)
LA,2000-02-15T17:30:00.000Z,Snow,Richland (Parish)
LA,2000-02-15T17:30:00.000Z,Snow,Union (Parish)
LA,2000-02-15T17:30:00.000Z,Snow,Webster (Parish)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Decatur (County)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Turner (County)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Colquitt (County)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Grady (County)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Mitchell (County)
LA,2000-02-15T17:30:00.000Z,Snow,West Carroll (Parish)
GA,2000-02-15T15:00:00.000Z,Severe Storm(s),Tift (County)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Aleutians East (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Anchorage (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Bethel (Census Area)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Bristol Bay (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Denali (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Dillingham (Census Area)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Fairbanks North Star (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Kenai Peninsula (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Kodiak Island (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Lake and Peninsula (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Matanuska-Susitna (Borough)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Southeast Fairbanks (Census Area)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Valdez-Cordova (Census Area)
AL,2000-02-18T17:15:00.000Z,Severe Storm(s),Cherokee (County)
AL,2000-02-18T17:15:00.000Z,Severe Storm(s),DeKalb (County)
AL,2000-02-18T17:15:00.000Z,Severe Storm(s),Jackson (County)
AK,2000-02-17T14:30:00.000Z,Severe Storm(s),Wade Hampton (Census Area)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Lynchburg
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Norton
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Accomack (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Albemarle (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Amelia (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Amherst (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Appomattox (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Alleghany (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Arlington (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Augusta (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Bath (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Bedford (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Bland (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Brunswick (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Buchanan (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Buckingham (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Campbell (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Caroline (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Carroll (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Charles City (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Botetourt (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Charlotte (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Chesterfield (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Clarke (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Craig (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Culpeper (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Cumberland (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Dickenson (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Dinwiddie (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Essex (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Fairfax (County)
VA,2000-02-28T14:20:00.000Z,Severe Storm(s),Fauquier (County)
